"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Chelsea Gray","LVA",44,1378,2679,18.40238895110116,3.9567002612915267,8.025382605449794,0.4930232558139535,2.3516237402015676,6.382978723404255,0.3684210526315789,0.3684210526315789,3.4341172079134004,2.2396416573348263,5.673758865248227,6.4949608062709965,0.5599104143337066,0.2830188679245283,0.2912621359223301,0.9206349206349206,0.4430051813471503,0.45392792553191486,0.5194300518134715,0.5688836104513064,0.22396416573348266,0.335946248600224,0.04186046511627907,0,0,17.945340796838984
"Jackie Young","LVA",44,1336,2609,27.865082407052512,6.899195093905711,12.45688003066309,0.5538461538461539,3.0663089306247606,8.585665005749329,0.35714285714285715,0.35874439461883406,4.867765427366807,5.596013798390188,8.202376389421234,6.20927558451514,2.9896512073591412,0.40555555555555556,0.42196531791907516,0.675,0.4080145719489982,0.478248691588785,0.546448087431694,0.5991735537190083,0.536604062859333,0.4982752012265236,0.04,0.07665772326561901,0.008928571428571428,23.820834747200543
"A'ja Wilson","LVA",40,1258,2468,37.96596434359805,12.439222042139384,24.230145867098866,0.5133779264214047,1.012965964343598,2.3905996758508916,0.423728813559322,0.423728813559322,10.048622366288493,17.3419773095624,7.536466774716369,3.038897893030794,0,0.6970684039087948,0.7456445993031359,1,0.0898021308980213,0.4477674491392801,0.5243531202435312,0.5985915492957746,1.6207455429497568,1.2155591572123177,0.05016722408026756,0,0,31.08882521489971
"Jewell Loyd","LVA",44,1235,2430,20.20576131687243,2.7160493827160495,6.790123456790123,0.4,4.11522633744856,10.781893004115226,0.3816793893129771,0.38461538461538464,2.42798353909465,3.045267489711934,2.3868312757201644,11.728395061728396,0.6172839506172839,0.5606060606060606,0.6271186440677966,0.95,0.6135831381733021,0.4925287589498807,0.5058548009367682,0.533695652173913,0.5761316872427984,0.49382716049382713,0.07272727272727272,0.0411522633744856,0.003816793893129771,18.615664845173043
"Dana Evans","LVA",44,777,1506,19.322709163346612,4.648074369189907,11.48738379814077,0.4046242774566474,2.456839309428951,6.706507304116866,0.36633663366336633,0.37,2.6560424966799467,2.257636122177955,7.038512616201859,5.378486055776892,1.9920318725099602,0.24285714285714285,0.24285714285714285,0.7297297297297297,0.3686131386861314,0.4504698113207547,0.458029197080292,0.49155405405405406,0,0.8632138114209827,0.07514450867052024,0.13280212483399734,0.019801980198019802,19.797859690844234
"Aaliyah Nye","LVA",44,671,1328,12.725903614457831,1.6566265060240963,3.9909638554216866,0.41509433962264153,2.786144578313253,8.885542168674698,0.3135593220338983,0.3135593220338983,1.0542168674698795,2.108433734939759,1.2048192771084338,8.132530120481928,0.22590361445783133,0.6363636363636364,0.7,0.972972972972973,0.6900584795321637,0.5080728070175439,0.45321637426900585,0.4745762711864407,0.30120481927710846,0.37650602409638556,0.09433962264150944,0.37650602409638556,0.0423728813559322,13.672922252010723
"NaLyssa Smith","LVA",27,607,1157,19.10112359550562,7.173725151253241,12.445980985306829,0.5763888888888888,0.5185825410544511,1.382886776145203,0.375,0.375,3.197925669835782,12.273120138288677,2.0743301642178045,1.5557476231633536,0,0.8554216867469879,0.9726027397260274,1,0.1,0.4839071895424837,0.575,0.5815789473684211,1.7286084701815039,0.9507346585998271,0.0763888888888889,0,0,17.009916094584288
"Kiah Stokes","LVA",40,514,1000,4.4,1.5,2.8,0.5357142857142857,0.3,2.3,0.13043478260869565,0.13043478260869565,0.5,3,0,0.9,0,1,1,1,0.45098039215686275,0.5386019607843137,0.38235294117647056,0.4,0,0.2,0.07142857142857142,0,0,6.327985739750445
"Kierstan Bell","LVA",35,422,817,17.870257037943695,2.692778457772338,6.24235006119951,0.43137254901960786,3.6719706242350063,12.48470012239902,0.29411764705882354,0.297029702970297,1.4687882496940023,3.916768665850673,1.4687882496940023,11.015911872705018,0,0.7272727272727273,0.9411764705882353,1,0.6666666666666666,0.5004783783783784,0.43790849673202614,0.45625,1.2239902080783354,0.24479804161566707,0.0392156862745098,0.12239902080783353,0.00980392156862745,19.073275862068968
"Megan Gustafson","LVA",20,226,454,13.215859030837004,1.5418502202643172,3.9647577092511015,0.3888888888888889,2.8634361233480177,8.590308370044053,0.3333333333333333,0.3333333333333333,1.5418502202643172,2.643171806167401,0.44052863436123346,8.590308370044053,0,0.8571428571428571,1,1,0.6842105263157895,0.4976445454545455,0.4649122807017544,0.46875,0.44052863436123346,0,0,0,0,13.645224171539962
"Tiffany Mitchell","LVA",16,210,416,14.182692307692308,2.8846153846153846,6.730769230769231,0.42857142857142855,0.9615384615384616,3.125,0.3076923076923077,0.3076923076923077,5.528846153846154,2.4038461538461537,3.3653846153846154,2.8846153846153846,0,0.4166666666666667,0.4166666666666667,1,0.3170731707317073,0.4859829268292683,0.43902439024390244,0.5462962962962963,0,0.2403846153846154,0.03571428571428571,0,0,14.782608695652176
"Elizabeth Kitley","LVA",12,98,190,7.894736842105263,3.6842105263157894,11.578947368421053,0.3181818181818182,0,0.5263157894736842,0,0,0.5263157894736842,4.2105263157894735,3.1578947368421053,0,0,0.5714285714285714,0.8,0,0.043478260869565216,0.4712521739130435,0.30434782608695654,0.3125,2.1052631578947367,2.1052631578947367,0.18181818181818182,0,0,14.97584541062802
"Joyner Holmes","LVA",6,29,53,13.20754716981132,3.7735849056603774,13.20754716981132,0.2857142857142857,1.8867924528301887,9.433962264150944,0.2,0.2,0,7.547169811320755,0,5.660377358490566,0,1,1,1,0.4166666666666667,0.4689916666666667,0.2916666666666667,0.2916666666666667,0,0,0,0,0,23.728813559322035
"Crystal Bradford","LVA",4,24,45,8.88888888888889,4.444444444444445,8.88888888888889,0.5,0,4.444444444444445,0,0,0,0,8.88888888888889,0,0,0,0,0,0.3333333333333333,0.43911666666666666,0.3333333333333333,0.3333333333333333,4.444444444444445,0,0,0,0,12.962962962962962
"Cheyenne Parker-Tyus","LVA",2,14,28,57.142857142857146,14.285714285714286,21.428571428571427,0.6666666666666666,3.5714285714285716,7.142857142857143,0.5,0.5,17.857142857142858,28.571428571428573,0,10.714285714285714,0,1,1,1,0.25,0.4794,0.6875,0.7272727272727273,0,0,0,0,0,38.70967741935484
