game_number,game_date,opponent_team_display_name,team_home_away,team_score,opponent_team_score,team_winner,point_diff,phase,phase_num,is_playoffs,cumulative_record,off_efg_pct,off_ft_rate,off_tov_pct,off_oreb_pct,def_efg_pct,def_ft_rate,def_tov_pct,def_oreb_pct,ortg,drtg,net_rtg,pace,ts_pct,fg3_rate,fg3_pct,ft_pct,ast_rate,ast_tov_ratio,pct_pts_paint,pct_pts_3pt,pct_pts_ft,pts_paint,pts_3pt,pts_ft,win
1,2025-05-17,New York Liberty,away,78,92,False,-14,Phase 1: Rocky Start,1,False,0-1,0.40853658536585363,0.15853658536585366,0.11665888940737285,0.24489795918367346,0.5138888888888888,0.2916666666666667,0.07385524372230429,0.17142857142857143,90.99393373775082,113.24470704086657,-22.25077330311575,83.47999999999999,0.44459644322845415,0.3902439024390244,0.34375,0.8461538461538461,0.6428571428571429,1.8,0.41025641025641024,0.4230769230769231,0.14102564102564102,32,33,11,0
2,2025-05-20,Connecticut Sun,away,87,62,True,25,Phase 1: Rocky Start,1,False,1-1,0.4626865671641791,0.44776119402985076,0.1388888888888889,0.3076923076923077,0.3671875,0.265625,0.19880715705765406,0.19444444444444445,109.84848484848484,77.03777335984095,32.81071148864389,79.84,0.5423940149625935,0.3880597014925373,0.38461538461538464,0.8333333333333334,0.6153846153846154,1.4545454545454546,0.3218390804597701,0.3448275862068966,0.28735632183908044,28,30,25,1
3,2025-05-23,Washington Mystics,home,75,72,True,3,Phase 1: Rocky Start,1,False,2-1,0.4057971014492754,0.2898550724637681,0.10152284263959391,0.1891891891891892,0.48333333333333334,0.2833333333333333,0.1961297071129707,0.1935483870967742,95.17766497461929,94.14225941422593,1.0354055603933574,77.64,0.48200514138817485,0.4782608695652174,0.24242424242424243,0.95,0.625,1.875,0.32,0.32,0.25333333333333335,24,24,19,1
4,2025-05-25,Seattle Storm,away,82,102,False,-20,Phase 1: Rocky Start,1,False,2-2,0.5075757575757576,0.30303030303030304,0.1466992665036675,0.14705882352941177,0.6571428571428571,0.17142857142857143,0.13533464566929135,0.2,100.24449877750612,125.49212598425197,-25.247627206745847,81.53999999999999,0.5481283422459893,0.3787878787878788,0.36,0.75,0.6551724137931034,1.5833333333333333,0.4634146341463415,0.32926829268292684,0.18292682926829268,38,27,15,0
5,2025-05-30,Los Angeles Sparks,home,96,81,True,15,Phase 1: Rocky Start,1,False,3-2,0.5428571428571428,0.32857142857142857,0.11887779362815025,0.17647058823529413,0.5227272727272727,0.2878787878787879,0.2185526954832443,0.29411764705882354,114.12268188302423,98.34871296745993,15.773968915564296,83.24000000000001,0.5991013479780329,0.35714285714285715,0.48,0.8695652173913043,0.6875,2.2,0.3333333333333333,0.375,0.20833333333333334,32,36,20,1
6,2025-06-01,Seattle Storm,away,75,70,True,5,Phase 1: Rocky Start,1,False,4-2,0.5,0.21875,0.18948964123294593,0.1875,0.49230769230769234,0.1076923076923077,0.2343364578194376,0.1935483870967742,94.74482061647296,86.3344844597928,8.41033615668016,80.12,0.5344925883694414,0.390625,0.4,0.7857142857142857,0.6296296296296297,1.1333333333333333,0.32,0.4,0.14666666666666667,24,30,11,1
7,2025-06-07,Golden State Valkyries,away,68,95,False,-27,Phase 1: Rocky Start,1,False,4-3,0.4032258064516129,0.4032258064516129,0.16455696202531644,0.17073170731707318,0.5492957746478874,0.2535211267605634,0.146484375,0.2727272727272727,86.07594936708861,115.966796875,-29.89084750791139,80.46000000000001,0.4657534246575342,0.4032258064516129,0.24,0.72,0.5,0.8461538461538461,0.38235294117647056,0.2647058823529412,0.2647058823529412,26,18,18,0
8,2025-06-11,Los Angeles Sparks,home,89,97,False,-8,Phase 1: Rocky Start,1,False,4-4,0.4375,0.4027777777777778,0.10618216139688531,0.20930232558139536,0.646551724137931,0.46551724137931033,0.185459940652819,0.17391304347826086,105.0023596035866,119.93076162215628,-14.928402018569685,82.82,0.525011798017933,0.4861111111111111,0.2571428571428571,0.896551724137931,0.4444444444444444,1.3333333333333333,0.3595505617977528,0.30337078651685395,0.29213483146067415,32,27,26,0
9,2025-06-13,Dallas Wings,home,88,84,True,4,Phase 1: Rocky Start,1,False,5-4,0.5,0.45161290322580644,0.2186588921282799,0.3225806451612903,0.5285714285714286,0.15714285714285714,0.18328445747800587,0.23529411764705882,106.89990281827018,102.63929618768329,4.260606630586892,82.08,0.5920344456404737,0.46774193548387094,0.3448275862068966,0.9285714285714286,0.5769230769230769,0.8333333333333334,0.3409090909090909,0.3409090909090909,0.29545454545454547,30,30,26,1
10,2025-06-15,Phoenix Mercury,home,70,76,False,-6,Phase 1: Rocky Start,1,False,5-5,0.4296875,0.25,0.24038461538461536,0.3333333333333333,0.4452054794520548,0.1643835616438356,0.15731515469323545,0.34146341463414637,88.56275303643724,99.63293130571577,-11.070178269278529,77.66,0.4926801801801801,0.4375,0.32142857142857145,0.9375,0.6086956521739131,0.7368421052631579,0.2857142857142857,0.38571428571428573,0.21428571428571427,20,27,15,0
11,2025-06-17,Minnesota Lynx,away,62,76,False,-14,Phase 1: Rocky Start,1,False,5-6,0.4296875,0.140625,0.22089397089397092,0.23529411764705882,0.4144736842105263,0.2236842105263158,0.10325245224574083,0.35,80.56133056133056,98.08982963345379,-17.528499072123225,77.22,0.4561506768687464,0.375,0.375,0.7777777777777778,0.782608695652174,1.0588235294117647,0.3548387096774194,0.43548387096774194,0.11290322580645161,22,27,7,0
12,2025-06-20,Seattle Storm,home,83,90,False,-7,Phase 1: Rocky Start,1,False,5-7,0.5655737704918032,0.3442622950819672,0.17893660531697342,0.1875,0.5422535211267606,0.22535211267605634,0.11835875854813255,0.3142857142857143,106.08384458077711,118.35875854813256,-12.274913967355445,77.14,0.5908314350797267,0.3114754098360656,0.5789473684210527,0.6666666666666666,0.6896551724137931,1.4285714285714286,0.3373493975903614,0.39759036144578314,0.1686746987951807,28,33,14,0
13,2025-06-22,Indiana Fever,home,89,81,True,8,Phase 1: Rocky Start,1,False,6-7,0.49295774647887325,0.29577464788732394,0.15251055842327546,0.25,0.5285714285714286,0.12857142857142856,0.19762845849802374,0.28125,104.41107461285782,100.04940711462451,4.361667498233302,83.1,0.5545862412761715,0.28169014084507044,0.3,0.9047619047619048,0.59375,1.4615384615384615,0.449438202247191,0.20224719101123595,0.21348314606741572,40,18,19,1
14,2025-06-25,Connecticut Sun,home,85,59,True,26,Phase 1: Rocky Start,1,False,7-7,0.5071428571428571,0.22857142857142856,0.18283764017552412,0.30303030303030304,0.3380281690140845,0.16901408450704225,0.14763779527559054,0.16666666666666666,103.60799609946368,72.58858267716536,31.019413422298314,81.66,0.5516614745586708,0.4,0.39285714285714285,0.875,0.6,1.2,0.3764705882352941,0.38823529411764707,0.16470588235294117,32,33,14,1
15,2025-06-26,Washington Mystics,home,83,94,False,-11,Phase 1: Rocky Start,1,False,7-8,0.5454545454545454,0.18181818181818182,0.10351966873706003,0.07407407407407407,0.5285714285714286,0.35714285714285715,0.1,0.2647058823529412,107.4016563146998,117.5,-10.098343685300193,78.64,0.5822109988776656,0.3484848484848485,0.2608695652173913,0.9166666666666666,0.6363636363636364,2.625,0.43373493975903615,0.21686746987951808,0.13253012048192772,36,18,11,0
16,2025-06-29,Phoenix Mercury,away,84,81,True,3,Phase 1: Rocky Start,1,False,8-8,0.5083333333333333,0.43333333333333335,0.1529831718510964,0.17857142857142858,0.4507042253521127,0.29577464788732394,0.13881877839475013,0.27906976744186046,107.08822029576748,102.221100454316,4.867119841451483,78.84,0.5879059350503919,0.4,0.375,0.8846153846153846,0.7692307692307693,1.6666666666666667,0.3333333333333333,0.32142857142857145,0.27380952380952384,28,27,23,1
