season_stats,player_name,team_name,team_abbr,position,games_played_total,min_total,USG%,PPP,ppsa,EFG%,FT_Rate,3p_rate,%pts_ft,%pts_2p,%pts_3p,OREB%,DREB%,TREB%,AST%,TOV%,AST_TOV,STL%,BLK%,PF%,PER,PER_Min,win_shares,off_ws,def_ws,ws_per_40min,off_ws_per_40min,def_ws_per_40min,player_off_rtg,player_def_rtg,ts_pct,G,GS,MPG,PPG,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,PF,PER_rank,PER_Min_rank,win_shares_rank,off_ws_rank,def_ws_rank,ws_per_40min_rank,off_ws_per_40min_rank,def_ws_per_40min_rank,player_off_rtg_rank,player_def_rtg_rank,ts_pct_rank,position_group,PPG_pctile_league,PPG_pctile_pos,ts_pct_pctile_league,ts_pct_pctile_pos,EFG%_pctile_league,EFG%_pctile_pos,FG%_pctile_league,FG%_pctile_pos,2P%_pctile_league,2P%_pctile_pos,3P%_pctile_league,3P%_pctile_pos,FT%_pctile_league,FT%_pctile_pos,PPP_pctile_league,PPP_pctile_pos,USG%_pctile_league,USG%_pctile_pos,AST_pctile_league,AST_pctile_pos,AST%_pctile_league,AST%_pctile_pos,AST_TOV_pctile_league,AST_TOV_pctile_pos,TREB_pctile_league,TREB_pctile_pos,OREB_pctile_league,OREB_pctile_pos,DREB_pctile_league,DREB_pctile_pos,TREB%_pctile_league,TREB%_pctile_pos,OREB%_pctile_league,OREB%_pctile_pos,DREB%_pctile_league,DREB%_pctile_pos,STL_pctile_league,STL_pctile_pos,BLK_pctile_league,BLK_pctile_pos,STL%_pctile_league,STL%_pctile_pos,BLK%_pctile_league,BLK%_pctile_pos,TOV_pctile_league,TOV_pctile_pos,TOV%_pctile_league,TOV%_pctile_pos,PF_pctile_league,PF_pctile_pos,PER_pctile_league,PER_pctile_pos,win_shares_pctile_league,win_shares_pctile_pos,off_ws_pctile_league,off_ws_pctile_pos,def_ws_pctile_league,def_ws_pctile_pos,ws_per_40min_pctile_league,ws_per_40min_pctile_pos,player_off_rtg_pctile_league,player_off_rtg_pctile_pos,player_def_rtg_pctile_league,player_def_rtg_pctile_pos,3p_rate_pctile_league,3p_rate_pctile_pos,FT_Rate_pctile_league,FT_Rate_pctile_pos,PER_rank_filtered,PER_Min_rank_filtered,win_shares_rank_filtered,off_ws_rank_filtered,def_ws_rank_filtered,ws_per_40min_rank_filtered,off_ws_per_40min_rank_filtered,def_ws_per_40min_rank_filtered,player_off_rtg_rank_filtered,player_def_rtg_rank_filtered,ts_pct_rank_filtered
2025,A'ja Wilson,Las Vegas Aces,LVA,C,40,1247,0.317,1.07,1.19,0.524,0.18,0.075,0.265,0.655,0.080,0.085,0.298,0.191,0.198,0.099,1.4,0.023,0.065,0.027,33.1,41343,8.9,6.3,2.6,0.29,0.2,0.08,118.6,93.3,0.595,40,40,31.2,23.4,8.3,16.4,0.505,7.7,15,0.513,0.6,1.5,0.424,6.2,7.3,0.855,2.3,7.9,10.2,3.1,2.2,1.6,2.3,1.9,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,8.0,4.0,,C,1.0,1.0,0.8685009826692871,0.8946232990375041,0.6570394854386279,0.4832946122358668,0.8696891191709845,0.6763469410333002,0.6334464891906378,0.3635911052107534,0.9261127222292271,0.8481830887491265,0.7363051059644102,0.8524726186525058,0.9590852242272646,0.9526496293837814,1.0,1.0,0.6758174021797392,0.9265958623741565,0.6206181883151688,0.9265958623741565,0.396881561899656,0.658756499612789,0.9915401107736287,1.0,0.936537430766482,0.8311760150459122,0.9913435769162051,1.0,0.9568786850098266,0.9546963159641553,0.8247543326782205,0.6184865582475938,0.9844202251206003,1.0,0.9638199035197427,1.0,1.0,1.0,0.9156155083080222,1.0,0.9715561908165088,0.8989932514658702,0.19154011077362873,0.17828299590662683,0.938065034840093,0.9530368403584467,0.6292299446131856,0.801360769996681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9461318563516169,0.9450713574510454,0.9873682329819546,0.9655382232547848,0.13350008933357155,0.5586901205885607,0.6808022154725746,0.8685695320278792,1.0,48.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,5.0,19.0
2025,Aaliyah Edwards,Connecticut Sun,CON,F,36,534,0.199,0.82,0.99,0.448,0.225,0.046,0.289,0.711,0.000,0.103,0.191,0.148,0.066,0.173,0.49,0.02,0.025,0.048,13.0,6951,0.9,0.2,0.7,0.07,0.02,0.05,95.7,100.4,0.495,36,0,14.8,5.4,1.9,4.3,0.448,1.9,4,0.476,0.0,0.3,0.0,1.6,2.4,0.644,1.3,2.4,3.7,0.6,1.1,0.6,0.4,1.6,79.0,97.0,96.0,107.0,69.0,90.0,107.0,46.0,108.0,46.0,,F,0.1770144720385921,0.20893614548835046,0.2103001608004288,0.17111149846028703,0.14479185277827408,0.09345767241880193,0.6078702876541004,0.4334146766602754,0.42587993567982846,0.30605426761954563,0.004809337680350163,0.015513334495380861,0.09822051327908432,0.17034103154032093,0.11129176344470251,0.10775085701005171,0.5007325352867608,0.4933472779036663,0.05593174915133107,0.07137876939166812,0.059004824012864034,0.11408401603625588,0.015243711745521155,0.04575562140491546,0.4814543505449348,0.328307477775841,0.6823566196176523,0.507640462494916,0.39484545292120776,0.26974028237754927,0.8089154904413078,0.677386555110104,0.9046006789351438,0.824705130439835,0.730837948901197,0.5047643948637499,0.30907629087010896,0.2752890593225263,0.6313739503305342,0.3616582418220905,0.7654815079506879,0.668235430829121,0.7682508486689298,0.7406890941839521,0.7263266035376095,0.6847365057230841,0.18450955869215652,0.22834233920167335,0.7248704663212435,0.7392946371506595,0.3542076112202966,0.2759862878391726,0.2095497587993568,0.12654697577130905,0.1387082365552975,0.1159142408924525,0.43592996247989996,0.2429550868630527,0.31295336787564765,0.21404915461042356,0.1585581561550831,0.1200104584277497,0.6734143291048776,0.477862994596479,0.07413793103448275,0.10966823543082913,0.9153207075218868,0.9604032304921272,87.0,27.0,95.0,111.0,64.0,89.0,109.0,42.0,115.0,49.0,105.0
2025,Aaliyah Nye,Las Vegas Aces,LVA,G-F,44,671,0.138,0.82,0.94,0.453,0.131,0.659,0.083,0.260,0.657,0.026,0.09,0.057,0.056,0.131,0.89,0.009,0.012,0.038,5.8,3909,0.3,-0.1,0.3,0.02,0,0.02,90.9,106.2,0.47,44,2,15.3,3.8,1.3,3.9,0.345,0.5,1.2,0.415,0.8,2.7,0.314,0.3,0.4,0.824,0.3,1.2,1.5,0.5,0.6,0.3,0.2,1.3,132.0,117.0,124.0,129.0,101.0,125.0,129.0,106.0,129.0,106.0,,G,0.07692513846703591,0.09384253028263795,0.07452206539217437,0.09626514131897712,0.16653564409505092,0.2138122476446837,0.052501340003573344,0.08386608344549125,0.11689297838127569,0.2013963660834455,0.3941765585316209,0.27415881561238226,0.6006885451131181,0.5075990911386014,0.13855636948365196,0.19009084791386271,0.11246203323208862,0.11266823687752356,0.02079685545828122,0.02646366083445491,0.03768090048240129,0.032604306864064604,0.15514452933029532,0.05867205251199192,0.06929605145613722,0.12319986541049797,0.17054672145792388,0.25284320323014803,0.07475433267822047,0.14801480484522206,0.1839467571913525,0.3344549125168237,0.35911202429873146,0.6299629878869448,0.1944702519206718,0.3171769851951548,0.05443987850634268,0.032385598923283986,0.24935679828479543,0.5226446837146702,0.06720564588172236,0.03876177658142665,0.5225388601036269,0.6618775235531629,0.9353760943362516,0.9696668909825034,0.6353403609076291,0.7182200538358008,0.9015812042165445,0.8338324360699866,0.03227621940325174,0.04915881561238224,0.08098981597284259,0.12688425302826378,0.037493299982133285,0.06278600269179004,0.2102644273718063,0.30962314939434726,0.09207611220296587,0.12207267833109017,0.04610505628015008,0.07900403768506056,0.23788636769698052,0.3264468371467026,0.9660085760228694,0.9396366083445491,0.3130784348758263,0.2958950201884253,139.0,51.0,126.0,138.0,98.0,129.0,128.0,101.0,136.0,110.0,129.0
2025,Aari McDonald,Indiana Fever,IND,G,20,525,0.188,0.88,1.11,0.506,0.224,0.443,0.204,0.429,0.367,0.02,0.092,0.055,0.285,0.207,2.04,0.021,0.005,0.042,14.1,7383,1.4,0.9,0.5,0.11,0.07,0.04,105.8,102.8,0.555,20,13,26.3,9.8,3.3,7.7,0.429,2.1,3.8,0.553,1.2,3.9,0.308,2,2.6,0.784,0.5,1.9,2.4,4.7,2.3,1.3,0.2,2.5,64.0,91.0,78.0,72.0,87.0,57.0,51.0,73.0,57.0,73.0,,G,0.502394139717706,0.4993606998654105,0.6325710201893872,0.6984522207267833,0.5447203859210291,0.6402086137281292,0.5144720385921029,0.6843034993270525,0.8070484187957835,0.9193977119784656,0.38194607057297764,0.2333950201884253,0.46446391844764373,0.30598333754102497,0.3268626049669466,0.40193472409152087,0.4335804895479721,0.4629037685060565,0.8637395033053421,0.7639300134589502,0.8979185277827407,0.8282974427994616,0.7716123843988741,0.7080198603046369,0.23246381990351975,0.40126177658142664,0.28776130069680184,0.48235195154777927,0.2326782204752546,0.3920423956931359,0.17160085760228694,0.3224091520861373,0.22638913703769878,0.3708950201884253,0.20152760407361087,0.3478297442799462,0.8016258710023226,0.7291386271870794,0.3452742540646775,0.5113559892328399,0.806074682865821,0.8590174966352625,0.1626496337323566,0.21892664872139972,0.13628729676612472,0.16345895020188425,0.1015901375737002,0.13832436069986542,0.28578702876541007,0.2798452220726783,0.47070752188672504,0.6115915208613728,0.33107914954439877,0.415057200538358,0.33561729497945325,0.3673620457604307,0.30312667500446666,0.4122981157469717,0.5153653743076648,0.6390477792732167,0.5132928354475612,0.55,0.45281400750402,0.5762281292059219,0.7031713417902448,0.6412180349932706,0.9105502948007861,0.8672611036339165,68.0,21.0,76.0,70.0,79.0,55.0,48.0,58.0,64.0,78.0,47.0
2025,Aerial Powers,Indiana Fever,IND,G,10,167,0.226,0.88,1.01,0.469,0.148,0.26,0.176,0.541,0.284,0.07,0.242,0.147,0.185,0.131,1.82,0.022,0.006,0.053,16.4,2736,0.6,0.3,0.3,0.15,0.07,0.08,104.7,94.6,0.505,10,0,16.7,7.4,2.7,6.5,0.415,2,4.6,0.435,0.7,1.9,0.368,1.3,1.9,0.684,1.0,2.9,3.9,2.0,1.1,0.8,0.1,1.9,,,,,,,,,,,,G,0.29407718420582457,0.31658815612382235,0.2522422726460604,0.33845895020188427,0.28984277291406113,0.3368270524899058,0.3746381990351974,0.5017160161507402,0.19481865284974093,0.29767833109017494,0.7320010087000378,0.7136608344549125,0.13646606456228202,0.07010014306151645,0.33289262104698947,0.3845558546433378,0.6887082365552974,0.729020861372813,0.4240039306771485,0.3144515477792732,0.5780775415401108,0.4016655450874832,0.6184336326676495,0.4810401413784398,0.50844202251206,0.7567462987886945,0.6319099517598714,0.8928162853297443,0.4731105949615866,0.6609017496635262,0.8041450777202073,1.0,0.7267554046810791,0.9779777927321669,0.8820082186885831,1.0,0.395050920135787,0.34192462987886946,0.1432553153475076,0.23169582772543743,0.8715472574593532,0.8971399730820996,0.21594604252278007,0.2543909825033647,0.7215561908165088,0.7489569313593539,0.6293460782562087,0.7210296096904442,0.6381186349830266,0.5904273216689099,0.618456315883509,0.7215679676985195,0.13877970341254242,0.20735195154777927,0.16648204395211721,0.2067799461641992,0.21393603716276577,0.2983344549125168,0.7475701268536716,0.8137617765814267,0.46918885117026976,0.5069650067294751,0.9567625513668037,0.9997981157469717,0.308325888869037,0.11569650067294751,0.4578613542969448,0.415292732166891,46.0,71.0,109.0,104.0,98.0,25.0,48.0,6.0,70.0,9.0,96.0
2025,Alanna Smith,Minnesota Lynx,MIN,F,42,1114,0.173,0.96,1.13,0.565,0.142,0.45,0.077,0.530,0.394,0.071,0.156,0.114,0.167,0.154,1.86,0.022,0.066,0.047,18.0,20095,4.5,2.2,2.3,0.16,0.08,0.08,110.0,93.7,0.565,42,42,26.5,9.6,3.8,7.9,0.485,2.5,4,0.633,1.3,3.8,0.329,0.7,1.5,0.477,1.5,3.5,5.1,2.9,1.5,1.3,1.9,2.8,34.0,28.0,17.0,30.0,2.0,20.0,38.0,5.0,39.0,5.0,,F,0.49046810791495443,0.47437685201324736,0.7128640343040915,0.6337226192551275,0.8823655529748079,0.7985590610655976,0.7756744684652492,0.6075184475045029,0.9667411113096301,0.9305676602173029,0.48069059927589747,0.6905757945499971,0.0175534293123491,0.03244313714069371,0.6808111488297303,0.6124280983092208,0.2946399857066285,0.2878682238103538,0.6299446131856352,0.759804776015339,0.48327675540468107,0.6747719481726803,0.6449805656078273,0.8299924466910696,0.724155797748794,0.5043576782290395,0.7658835090226908,0.616669571785486,0.6788279435411828,0.435680669339376,0.6570037520100054,0.39285921794201384,0.7367071645524388,0.5510138864679566,0.6305431481150616,0.3455348323746441,0.7969358584956227,0.7442333391435709,0.9781132749687332,1.0,0.8700553868143648,0.7644820173145082,0.9815079506878684,0.9929115100807623,0.5912721100589602,0.49535180988902444,0.37090405574414864,0.30611236999593283,0.1231731284616759,0.1522572773226425,0.6894765052706807,0.64060775085701,0.7851974271931392,0.792690721050491,0.6864927639807039,0.674859101737261,0.988860103626943,1.0,0.8557173485795962,0.7916158270873279,0.6507414686439164,0.5965370983673233,0.9762283366088976,0.9773691243971878,0.7165177773807396,0.768316774156063,0.39346971591924246,0.3486142583231654,36.0,95.0,15.0,29.0,2.0,17.0,38.0,6.0,43.0,7.0,38.0
2025,Alexis Prince,Phoenix Mercury,PHX,F,1,22,0.13,0.33,0.67,0.333,0.0,0.333,0.000,1.000,0.000,0.0,0.364,0.216,0.063,0.5,0.33,0.0,0.0,0.021,-1.4,-30,0.0,-0.1,0.1,0.0,-0.17,0.17,40.5,76.1,0.335,1,0,22.1,2.0,1.0,3.0,0.333,1,2,0.5,0.0,1.0,0.0,0,0,,0.0,8.0,8.0,1.0,3.0,0.0,0.0,1.0,,,,,,,,,,,,F,0.005458281222083259,0.002469350996455755,0.004600678935143827,0.002469350996455755,0.004600678935143827,0.002469350996455755,0.022190459174557798,0.01350880251002266,0.5868054314811506,0.43797571320667017,0.00500747518778032,0.01615246063564,,,0.0003037341432910488,0.0006391261402591366,0.06252456673217795,0.06216954273429783,0.1659639092370913,0.24330370112137586,0.05423441129176344,0.09400964499448028,0.0013671089666264576,0.0006391261402591366,0.9186349830266214,0.9025913659868688,0.0001965338574236198,0.0006391261402591366,0.9915401107736287,0.9724885247806635,0.9846167589780239,0.9499738539306257,0.0001965338574236198,0.0006391261402591366,1.0,1.0,0.0001965338574236198,0.0006391261402591366,0.0001965338574236198,0.0006391261402591366,0.0001965338574236198,0.0006391261402591366,0.0001965338574236198,0.0006391261402591366,0.023173128461675897,0.06362210214397769,0.0001965338574236198,0.0006391261402591366,0.9786224763266035,0.98312125965952,0.0001965338574236198,0.0006391261402591366,0.04293371448990531,0.03416419731567021,0.031499017330712885,0.011678577653826041,0.13133821690191175,0.09938411481029574,0.06300696801858138,0.03416419731567021,0.0001965338574236198,0.0006391261402591366,1.0,1.0,0.41228336608897626,0.5729765847423159,0.0001965338574236198,0.0006391261402591366,150.0,150.0,133.0,138.0,118.0,136.0,137.0,1.0,150.0,1.0,147.0
2025,Aliyah Boston,Indiana Fever,IND,C-F,44,1327,0.217,1.01,1.16,0.544,0.124,0.051,0.170,0.803,0.027,0.096,0.237,0.165,0.212,0.124,2.01,0.018,0.028,0.046,22.5,29890,6.7,4.7,2.0,0.2,0.14,0.06,117.9,98.1,0.58,44,44,30.2,15.0,6.2,11.5,0.538,6,10.8,0.558,0.1,0.7,0.207,2.5,3.3,0.762,2.4,5.8,8.2,3.7,1.8,1.2,0.9,3.1,7.0,5.0,4.0,6.0,9.0,6.0,7.0,28.0,9.0,28.0,,C,0.8020368054314811,0.8634251576501826,0.7922994461318563,0.7565549286425489,0.8034393425049133,0.7578825091271159,0.9526353403609076,0.9118818453368736,0.8380114346971592,0.8607146808275251,0.12173748581515571,0.266014442115071,0.3482965215058571,0.5684810266622414,0.7727353939610505,0.7342073238190066,0.6442469179917814,0.605929859497732,0.791182776487404,1.0,0.7185813828836877,1.0,0.7532144931421167,0.8973337758601615,0.94906199749866,0.8700630600730169,0.9483919957119885,0.939041929416971,0.9401375737001966,0.8160194711804403,0.8877434339824907,0.6064830180329682,0.8748704663212435,0.7430578603827857,0.8706717884581026,0.5677066047129107,0.7185635161693764,0.8619316296050448,0.8810076826871538,0.49977873658590555,0.5515990709308558,0.7279566323708375,0.8144184384491692,0.3491536674410886,0.42493299982133287,0.36519526496293836,0.6871180989815973,0.6539440203562341,0.026255136680364482,0.07340413762584357,0.9437645167053779,0.931021130656046,0.9663837770234054,0.931021130656046,0.9298374128997677,0.931021130656046,0.9243612649633732,0.931021130656046,0.9579953546542791,0.931021130656046,0.93499195997856,0.8760924881070915,0.7908343755583348,0.6372939484456245,0.08708236555297481,0.3236530589666999,0.26364123637663034,0.3580042040048678,7.0,63.0,4.0,6.0,8.0,5.0,4.0,23.0,12.0,30.0,27.0
2025,Allisha Gray,Atlanta Dream,ATL,G,42,1451,0.226,1.07,1.19,0.54,0.263,0.392,0.237,0.383,0.380,0.03,0.151,0.091,0.177,0.102,1.99,0.014,0.009,0.035,19.6,28457,7.2,5.2,2.0,0.2,0.14,0.06,119.0,99.2,0.595,42,42,34.5,18.4,5.9,13.0,0.451,3.5,6.9,0.509,2.3,6.1,0.384,4.4,5.5,0.799,0.9,4.5,5.3,3.5,1.8,1.1,0.4,2.6,20.0,8.0,3.0,3.0,8.0,7.0,4.0,38.0,6.0,39.0,,G,0.9305520814722172,0.9312247644683714,0.8573610862962301,0.8995962314939435,0.7811416830444882,0.87557200538358,0.6208325888869037,0.824478465679677,0.6223065928175808,0.8063088829071332,0.8186501431993803,0.8046265141318977,0.5178306357864616,0.40865101405369014,0.9479453278542076,0.9828230148048452,0.7016705377881007,0.7262113055181696,0.7453635876362337,0.6231830417227456,0.5376451670537788,0.3759421265141319,0.7165706116248939,0.6286796263569806,0.7736108629623012,1.0,0.6027157405753082,0.8593203230148049,0.8076737537966768,0.9932032301480485,0.5572985527961408,0.8885262449528937,0.40680721815258175,0.6830080753701211,0.6077184205824548,0.9372812920592194,0.6098534929426479,0.5490242261103634,0.498990530641415,0.7083445491251682,0.3490083973557263,0.29661843876177657,0.31515097373593,0.4860531628532974,0.39299624798999466,0.4140477792732167,0.926925138467036,0.9456931359353971,0.19542612113632302,0.1911507402422611,0.8308826156869752,0.9140309555854643,0.9793460782562087,1.0,0.9793460782562087,1.0,0.9125067000178667,0.9788021534320323,0.9302126139003037,1.0,0.9590941575844202,0.993943472409152,0.7193139181704484,0.9019347240915209,0.6051009469358585,0.5269010767160162,0.9716812578166875,0.9617092866756393,19.0,69.0,3.0,3.0,8.0,5.0,4.0,23.0,9.0,41.0,19.0
2025,Alysha Clark,Washington Mystics,WAS,F,42,828,0.108,0.84,0.95,0.453,0.16,0.561,0.117,0.405,0.479,0.024,0.15,0.087,0.093,0.114,2.32,0.014,0.004,0.045,7.1,5868,1.0,0.3,0.8,0.05,0.01,0.04,97.3,102.9,0.475,42,15,19.7,3.9,1.4,3.8,0.371,0.8,1.5,0.524,0.6,2.3,0.271,0.5,0.6,0.731,0.4,2.4,2.8,1.2,0.5,0.6,0.1,1.9,124.0,108.0,89.0,104.0,63.0,105.0,111.0,75.0,101.0,75.0,,F,0.0883866356976952,0.08491662308988437,0.08710023226728604,0.07248271454302481,0.17393246381990352,0.13322874905583637,0.13293728783276756,0.10249259194701063,0.6973825263534036,0.5606879321364244,0.22131959579948485,0.3516646330834931,0.24853795940266477,0.36523283921134636,0.1966321243523316,0.2017023996281448,0.02517420046453457,0.025884608680495032,0.19290691441843844,0.28801347975132185,0.1611845631588351,0.28353959676950785,0.8649332082383953,0.9288826913020742,0.34009290691441846,0.16948463192144558,0.2650437734500625,0.05220498518389402,0.3900750402001072,0.2542269478821684,0.5208325888869036,0.2480099936087386,0.32708593889583704,0.08000697228516647,0.5850902269072717,0.2912672128290047,0.3164731105949616,0.2065829992446691,0.175656601750938,0.08703735982801697,0.3610058960157227,0.3517227354598803,0.1015901375737002,0.07904828307477776,0.9758263355368948,0.9981697751438033,0.7960335894229051,0.7459473592469932,0.6366267643380382,0.6018534658067515,0.063391102376273,0.037563186334321076,0.2300071466857245,0.18467840334669688,0.16361443630516348,0.17724129916913603,0.45008040021440054,0.30329440474115393,0.20621761658031088,0.11518796118761257,0.20717348579596212,0.15893905060716984,0.44812399499732,0.2461507175643484,0.8615776308736823,0.9226366858404509,0.5245131320350188,0.5068270292254953,131.0,39.0,89.0,104.0,55.0,105.0,118.0,58.0,108.0,79.0,126.0
