Player,Team,Match Up,Game Date,win_loss,MIN,OffRtg,DefRtg,NetRtg,AST%,AST_TOV,AST_Ratio,OREB%,DREB%,REB%,TOV_Ratio,eFG%,TS%,USG%,PACE,PACE_40,PIE,season_type
A'ja Wilson,LVA,LVA @ NYL,7/8/2025,L,14,113.8,103.6,10.2,0.167,0,0.333,0.000,0.250,0.121,0.000,0.000,0.258,0.125,96.8,80.7,7.8,2
A'ja Wilson,LVA,LVA @ CON,7/6/2025,W,24,127.7,89.1,38.5,0.000,0,0.000,0.000,0.136,0.073,0.083,0.850,0.839,0.226,92.3,76.9,23.1,2
A'ja Wilson,LVA,LVA @ IND,7/3/2025,L,26,73.6,107.7,-34.1,0.500,0.33,0.037,0.000,0.115,0.054,0.111,0.500,0.611,0.426,96.9,80.7,29.2,2
A'ja Wilson,LVA,LVA @ PHX,6/29/2025,W,35,108.5,101.4,7,0.438,2.33,0.200,0.091,0.366,0.243,0.086,0.400,0.523,0.354,95.3,79.4,27.9,2
A'ja Wilson,LVA,LVA vs. WAS,6/26/2025,L,32,104.8,107.9,-3.2,0.105,0,0.087,0.000,0.135,0.081,0.000,0.444,0.522,0.313,93.4,77.9,15.6,2
A'ja Wilson,LVA,LVA vs. CON,6/25/2025,W,27,127.3,67.3,60,0.222,0,0.174,0.038,0.206,0.133,0.000,0.500,0.577,0.297,96.6,80.5,30.1,2
A'ja Wilson,LVA,LVA vs. IND,6/22/2025,W,34,105.5,102.8,2.7,0.100,0.67,0.067,0.026,0.200,0.103,0.100,0.381,0.472,0.329,100.9,84.1,10.3,2
A'ja Wilson,LVA,LVA vs. SEA,6/20/2025,L,34,98.6,108.6,-10,0.118,0.29,0.077,0.036,0.371,0.222,0.269,0.545,0.598,0.324,97.6,81.3,15.8,2
A'ja Wilson,LVA,LVA vs. LAS,6/11/2025,L,28,103.5,101.7,1.8,0.357,5,0.217,0.057,0.273,0.140,0.043,0.167,0.396,0.273,98.9,82.4,16.2,2
A'ja Wilson,LVA,LVA @ GSV,6/7/2025,L,27,82.5,116.1,-33.6,0.200,0.4,0.083,0.036,0.217,0.118,0.208,0.385,0.515,0.349,101.5,84.5,9.2,2
A'ja Wilson,LVA,LVA @ SEA,6/1/2025,W,35,87,87,0,0.231,1,0.107,0.108,0.088,0.099,0.107,0.432,0.432,0.321,95.1,79.3,15.3,2
A'ja Wilson,LVA,LVA vs. LAS,5/30/2025,W,36,116.2,84,32.2,0.333,6,0.207,0.081,0.294,0.183,0.034,0.694,0.781,0.277,100.0,83.3,38.9,2
A'ja Wilson,LVA,LVA @ SEA,5/25/2025,L,28,96.6,131,-34.4,0.250,1.33,0.190,0.000,0.278,0.111,0.143,0.455,0.550,0.262,100.0,83.3,11.7,2
A'ja Wilson,LVA,LVA vs. WAS,5/23/2025,W,38,98.6,83.8,14.9,0.263,1.67,0.217,0.047,0.278,0.152,0.130,0.423,0.508,0.214,94.3,78.6,21,2
A'ja Wilson,LVA,LVA @ CON,5/20/2025,W,29,111.9,70.7,41.2,0.308,2,0.143,0.091,0.212,0.152,0.071,0.375,0.517,0.338,96.4,80.4,33.1,2
A'ja Wilson,LVA,LVA @ NYL,5/17/2025,L,36,104.1,112.2,-8.1,0.188,0.75,0.097,0.045,0.378,0.198,0.129,0.523,0.607,0.333,98.7,82.2,23.6,2
Aaliyah Nye,LVA,LVA @ LAS,9/11/2025,W,19,109.8,93,16.7,0.133,0,0.222,0.000,0.105,0.053,0.000,0.429,0.429,0.149,105.0,87.5,4.5,2
Aaliyah Nye,LVA,LVA vs. CHI,9/9/2025,W,26,127.7,70.2,57.4,0.095,2,0.250,0.000,0.033,0.020,0.125,0.200,0.200,0.115,85.9,71.6,-5.2,2
Aaliyah Nye,LVA,LVA vs. CHI,9/7/2025,W,11,65,85,-20,0.200,0,0.250,0.000,0.111,0.043,0.000,0.000,0.000,0.130,87.3,72.7,-8.7,2
Aaliyah Nye,LVA,LVA vs. MIN,9/4/2025,W,16,132.3,109.4,22.9,0.000,0,0.000,0.000,0.154,0.087,0.000,0.750,0.750,0.121,94.8,79.0,8.1,2
Aaliyah Nye,LVA,LVA @ ATL,8/27/2025,W,3,142.9,85.7,57.1,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107.8,89.8,-6.1,2
Aaliyah Nye,LVA,LVA @ CHI,8/25/2025,W,3,80,40,40,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87.3,72.7,0,2
Aaliyah Nye,LVA,LVA @ WAS,8/23/2025,W,2,0,200,-200,0.000,0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.250,126.6,105.5,-33.3,2
Aaliyah Nye,LVA,LVA vs. PHX,8/21/2025,W,10,75,47.6,27.4,0.000,0,0.000,0.000,0.071,0.040,0.000,0.000,0.000,0.000,98.1,81.7,7.8,2
Aaliyah Nye,LVA,LVA vs. ATL,8/19/2025,W,5,90,154.5,-64.5,0.000,0,0.000,0.250,0.000,0.143,0.500,0.000,0.000,0.182,101.8,84.9,-9.3,2
Aaliyah Nye,LVA,LVA vs. DAL,8/17/2025,W,10,123.8,105,18.8,0.000,0,0.000,0.000,0.000,0.000,0.000,0.200,0.340,0.261,100.3,83.6,2.1,2
