metric,metric_key,category,weight,value_phase1,value_phase2,value_phase3,delta_p1_to_p2,delta_p2_to_p3,delta_p1_to_p3,league_avg,vs_lg_phase1,vs_lg_phase2,vs_lg_phase3
Off eFG%,off_efg_pct,Four Factors (Offense),0.35,0.47771883289124667,0.5545871559633028,0.528554070473876,0.0768683230720561,-0.026033085489426733,0.05083523758262937,0.4996401737985315,-0.021921340907284814,0.054946982164771285,0.028913896675344553
Off FT Rate,off_ft_rate,Four Factors (Offense),0.25,0.29602122015915117,0.23394495412844038,0.29526123936816523,-0.062076266030710786,0.06131628523972485,-0.0007599807909859368,0.2707319492854558,0.02528927087369537,-0.03678699515701542,0.024529290082709432
Off TOV%,off_tov_pct,Four Factors (Offense),0.22,0.1569046903452787,0.13718528082633957,0.13196964698119432,-0.019719409518939135,-0.005215633845145257,-0.02493504336408439,0.1617213958624501,-0.0048167055171713935,-0.02453611503611053,-0.029751748881255785
Off OREB%,off_oreb_pct,Four Factors (Offense),0.18,0.2273190621814475,0.24906367041198502,0.22110552763819097,0.021744608230537504,-0.027958142773794048,-0.006213534543256544,0.24785411987124248,-0.020535057689794967,0.0012095505407425378,-0.02674859223305151
Def eFG% Allowed,def_efg_pct,Four Factors (Defense),0.35,0.5,0.46831955922865015,0.4932762836185819,-0.03168044077134985,0.02495672438993174,-0.00672371638141811,0.4997706689603347,0.00022933103966532586,-0.03145110973168452,-0.006494385341752784
Def FT Rate Allowed,def_ft_rate,Four Factors (Defense),0.25,0.2577639751552795,0.21854912764003673,0.28484107579462103,-0.03921484751524276,0.06629194815458431,0.027077100639341545,0.2707095805793004,-0.0129456054240209,-0.05216045293926366,0.014131495215320644
Def TOV% Forced,def_tov_pct,Four Factors (Defense),0.22,0.1578165614556257,0.15498673824817052,0.1699913980256421,-0.0028298232074551732,0.015004659777471563,0.01217483657001639,0.16159385110109475,-0.0037772896454690563,-0.0066071128529242296,0.008397546924547333
Def OREB% Allowed,def_oreb_pct,Four Factors (Defense),0.18,0.25922023182297155,0.24682395644283123,0.27989821882951654,-0.01239627538014032,0.033074262386685316,0.020677987006544996,0.24804266082525497,0.011177570997716574,-0.0012187043824237465,0.03185555800426157
ORtg,ortg,Efficiency,,99.97701677775224,114.4286636539703,109.59666776641373,14.451646876218064,-4.831995887556573,9.61965098866149,102.23680993710416,-2.259793159351915,12.191853716866149,7.3598578293095755
DRtg,drtg,Efficiency,,103.0891376231146,97.46588693957115,101.48281653217548,-5.623250683543446,4.016929592604328,-1.6063210909391188,102.23875304698542,0.8503845761291728,-4.7728661074142735,-0.755936514809946
Net Rating,net_rtg,Efficiency,,-3.1121208453623552,16.962776714399155,8.113851234238254,20.07489755976151,-8.8489254801609,11.22597207960061,-0.0019431098812750984,-3.1101777354810802,16.96471982428043,8.115794344119529
Pace,pace_avg,Style,,80.79714285714286,77.84125,81.10166666666667,-2.9558928571428567,3.2604166666666714,0.30452380952381475,79.85231468531468,0.9448281718281777,-2.011064685314679,1.2493519813519924
TS%,ts_pct,Shooting,,0.5308563167677375,0.5897521211112959,0.5715545423262216,0.058895804343558456,-0.01819757878507433,0.040698225558484125,0.5416709211956159,-0.010814604427878405,0.04808119991568005,0.02988362113060572
3P%,fg3_pct,Shooting,,0.3219858156028369,0.3995381062355658,0.3794466403162055,0.07755229063272889,-0.020091465919360285,0.05746082471336861,0.33666299571400715,-0.014677180111170252,0.06287511052155864,0.042783644602198356
AST/TOV,ast_tov_ratio,Ball Movement,,1.4,2.1411764705882352,1.96875,0.7411764705882353,-0.17242647058823524,0.5687500000000001,,,,
PPG,ppg,Scoring,,80.78571428571429,88.625,88.58333333333333,7.839285714285708,-0.041666666666671404,7.797619047619037,81.63445998446,-0.8487456987457023,6.990540015540006,6.9488733488733345
% Pts Paint,pct_pts_paint,Scoring Mix,,0.3978779840848806,0.35825105782792666,0.4233301975540922,-0.039626926256953965,0.06507913972616552,0.02545221346921156,,,,
% Pts 3PT,pct_pts_3pt,Scoring Mix,,0.3010610079575597,0.36600846262341324,0.270931326434619,0.06494745466585355,-0.09507713618879426,-0.03012968152294071,,,,
% Pts FT,pct_pts_ft,Scoring Mix,,0.20380194518125552,0.1473906911142454,0.18156161806208843,-0.056411254067010114,0.03417092694784302,-0.022240327119167097,,,,
