dreb_pct,drebs,drtg,efg,fg2a,fg2m,fg2pct,fg3a,fg3m,fg3pct,ftr,lineup,lineup_id,minutes,net_rtg,opp_efg,opp_fg2a,opp_fg2m,opp_fg2pct,opp_fg3a,opp_fg3m,opp_fg3pct,opp_ftr,opp_tov_pct,opp_turnovers,oreb_pct,orebs,ortg,plus_minus,pts_against,pts_for,seconds_played,team,total_possessions,tov_pct,turnovers,our_lineup_id,season,team_id
0.6,6,94.1176470588235,0.636363636363636,6,4,0.666666666666667,5,2,0.4,0.909090909090909,"Gabby Williams, Alysha Clark, Nneka Ogwumike, Skylar Diggins, Erica Wheeler",1628931-202252-203014-203400-204365,08:42,37.1323529411765,0.375,8,3,0.375,8,2,0.25,0.25,0.235294117647059,4,0.5,2,131.25,5,16,21,522,SEA,33,0.1875,3,1628932-1629498-1642801-203833-204319,2025,1611661319
0.4,2,112.5,0.625,9,6,0.666666666666667,3,1,0.333333333333333,1.0,"Kelsey Mitchell, Lexie Hull, Aliyah Boston, Caitlin Clark, Natasha Howard",1628909-1631086-1641648-1642286-203827,07:27,31.9444444444444,0.653846153846154,9,7,0.777777777777778,4,1,0.25,0.230769230769231,0.3125,5,0.2,1,144.444444444444,8,18,26,447,IND,34,0.166666666666667,3,1628932-1629498-1642801-203833-204319,2025,1611661319
0.714285714285714,5,133.333333333333,0.85,5,4,0.8,5,3,0.6,0.6,"Kahleah Copper, Sami Whitcomb, Kalani Brown, Satou Sabally, Alyssa Thomas",1627674-1628244-1629480-1630149-203826,06:27,35.8974358974359,0.571428571428571,9,5,0.555555555555556,5,2,0.4,0.0714285714285714,0.0,0,0.333333333333333,1,169.230769230769,6,16,22,387,PHX,25,0.0769230769230769,1,1628932-1629498-1642801-203833-204319,2025,1611661319
0.5,2,112.5,0.535714285714286,5,3,0.6,9,3,0.333333333333333,0.0,"Kaila Charles, Iliana Rupert, Laeticia Amihere, Carla Leite, Kaitlyn Chen",1630097-1630387-1641656-1642304-1642822,04:11,54.1666666666667,0.416666666666667,3,1,0.333333333333333,3,1,0.333333333333333,0.666666666666667,0.25,2,0.75,6,166.666666666667,6,9,15,251,GSV,17,0.111111111111111,1,1628932-1629498-1642801-203833-204319,2025,1611661319
0.666666666666667,2,150.0,0.833333333333333,6,5,0.833333333333333,0,0,,0.0,"Sug Sutton, Aaliyah Edwards, Sonia Citron, Lucy Olsen, Stefanie Dolson",1630134-1642290-1642785-1642802-203828,03:41,-7.14285714285714,0.75,1,0,0.0,5,3,0.6,0.0,0.166666666666667,1,0.0,0,142.857142857143,1,9,10,221,WAS,13,0.142857142857143,1,1628932-1629498-1642801-203833-204319,2025,1611661319
1.0,2,100.0,0.4,5,2,0.4,0,0,,0.4,"Temi Fágbénlé, Veronica Burton, Janelle Salaün, Tiffany Hayes, Kayla Thornton",1627701-1631007-1642767-203026-203866,02:52,20.0,0.5,2,2,1.0,2,0,0.0,0.25,0.2,1,0.666666666666667,2,120.0,1,5,6,172,GSV,10,0.2,1,1628932-1629498-1642801-203833-204319,2025,1611661319
1.0,3,40.0,0.666666666666667,5,4,0.8,1,0,0.0,0.166666666666667,"Cecilia Zandalasini, Monique Billings, Julie Vanloo, Janelle Salaün, Kayla Thornton",1628508-1628881-1642210-1642767-203866,02:33,160.0,0.25,2,1,0.5,2,0,0.0,0.0,0.2,1,0.5,1,200.0,6,2,8,153,GSV,9,0.0,0,1628932-1629498-1642801-203833-204319,2025,1611661319
1.0,1,233.333333333333,0.5,4,2,0.5,0,0,,0.0,"Kahleah Copper, Satou Sabally, Monique Akoa Makani, DeWanna Bonner, Alyssa Thomas",1627674-1630149-1642777-201886-203826,02:20,-133.333333333333,0.875,2,2,1.0,2,1,0.5,0.25,0.0,0,0.0,0,100.0,-3,7,4,140,PHX,7,0.0,0,1628932-1629498-1642801-203833-204319,2025,1611661319
0.333333333333333,1,175.0,1.16666666666667,2,2,1.0,1,1,1.0,0.0,"Teaira McCowan, Arike Ogunbowale, Haley Jones, Aziaha James, JJ Quinerly",1629479-1629481-1641650-1642793-1642808,02:18,0.0,0.583333333333333,5,2,0.4,1,1,1.0,0.0,0.0,0,,0,175.0,0,7,7,138,DAL,8,0.25,1,1628932-1629498-1642801-203833-204319,2025,1611661319
0.666666666666667,2,0.0,1.1,2,1,0.5,3,3,1.0,0.0,"Rachel Banham, Kia Nurse, Kamilla Cardoso, Maddy Westbeld, Rebecca Allen",1627671-1628915-1642289-1642818-204296,02:16,220.0,0.0,3,0,0.0,0,0,,0.0,0.5,2,0.0,0,220.0,11,0,11,136,CHI,9,0.0,0,1628932-1629498-1642801-203833-204319,2025,1611661319
