athlete_id,athlete_display_name,minutes_decimal,game_id,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,points,assists,rebounds,offensive_rebounds,defensive_rebounds,steals,blocks,turnovers,field_goals_made_pg,field_goals_attempted_pg,three_point_field_goals_made_pg,three_point_field_goals_attempted_pg,free_throws_made_pg,free_throws_attempted_pg,points_pg,assists_pg,rebounds_pg,offensive_rebounds_pg,defensive_rebounds_pg,steals_pg,blocks_pg,turnovers_pg,fg_pct,fg3_pct
2529122,Chelsea Gray,1797.0,56,217.0,498.0,82.0,216.0,111.0,129.0,627.0,326.0,214.0,30.0,184.0,89.0,43.0,151.0,3.875,8.892857142857142,1.4642857142857142,3.857142857142857,1.9821428571428572,2.3035714285714284,11.196428571428571,5.821428571428571,3.8214285714285716,0.5357142857142857,3.2857142857142856,1.5892857142857142,0.7678571428571429,2.6964285714285716,0.4357429718875502,0.37962962962962965
4065870,Jackie Young,1755.0,56,346.0,721.0,101.0,291.0,179.0,197.0,972.0,292.0,254.0,72.0,182.0,74.0,18.0,128.0,6.178571428571429,12.875,1.8035714285714286,5.196428571428571,3.1964285714285716,3.517857142857143,17.357142857142858,5.214285714285714,4.535714285714286,1.2857142857142858,3.25,1.3214285714285714,0.32142857142857145,2.2857142857142856,0.4798890429958391,0.3470790378006873
3149391,A'ja Wilson,1679.0,54,450.0,905.0,31.0,74.0,328.0,392.0,1259.0,162.0,527.0,107.0,420.0,89.0,122.0,115.0,8.333333333333334,16.75925925925926,0.5740740740740741,1.3703703703703705,6.074074074074074,7.2592592592592595,23.314814814814813,3.0,9.75925925925926,1.9814814814814814,7.777777777777778,1.6481481481481481,2.259259259259259,2.1296296296296298,0.4972375690607735,0.4189189189189189
2987869,Jewell Loyd,1595.0,56,203.0,516.0,126.0,325.0,72.0,86.0,604.0,91.0,189.0,69.0,120.0,64.0,18.0,65.0,3.625,9.214285714285714,2.25,5.803571428571429,1.2857142857142858,1.5357142857142858,10.785714285714286,1.625,3.375,1.2321428571428572,2.142857142857143,1.1428571428571428,0.32142857142857145,1.1607142857142858,0.39341085271317827,0.38769230769230767
4281190,Dana Evans,1018.0,56,144.0,354.0,53.0,131.0,51.0,64.0,392.0,131.0,59.0,10.0,49.0,24.0,5.0,49.0,2.5714285714285716,6.321428571428571,0.9464285714285714,2.3392857142857144,0.9107142857142857,1.1428571428571428,7.0,2.3392857142857144,1.0535714285714286,0.17857142857142858,0.875,0.42857142857142855,0.08928571428571429,0.875,0.4067796610169492,0.40458015267175573
4398776,NaLyssa Smith,890.0,40,126.0,224.0,6.0,18.0,48.0,88.0,306.0,25.0,202.0,61.0,141.0,27.0,25.0,46.0,3.15,5.6,0.15,0.45,1.2,2.2,7.65,0.625,5.05,1.525,3.525,0.675,0.625,1.15,0.5625,0.3333333333333333
4597509,Aaliyah Nye,689.0,56,59.0,174.0,37.0,119.0,14.0,17.0,169.0,24.0,67.0,15.0,52.0,13.0,9.0,27.0,1.0535714285714286,3.107142857142857,0.6607142857142857,2.125,0.25,0.30357142857142855,3.017857142857143,0.42857142857142855,1.1964285714285714,0.26785714285714285,0.9285714285714286,0.23214285714285715,0.16071428571428573,0.48214285714285715,0.3390804597701149,0.31092436974789917
4433633,Kierstan Bell,551.0,55,64.0,180.0,35.0,121.0,12.0,15.0,175.0,27.0,74.0,22.0,52.0,18.0,13.0,20.0,1.1636363636363636,3.272727272727273,0.6363636363636364,2.2,0.21818181818181817,0.2727272727272727,3.1818181818181817,0.4909090909090909,1.3454545454545455,0.4,0.9454545454545454,0.32727272727272727,0.23636363636363636,0.36363636363636365,0.35555555555555557,0.2892561983471074
