player_id,player_name,min_on,min_off,ortg_on,ortg_off,ortg_diff,drtg_on,drtg_off,drtg_diff,net_rtg_on,net_rtg_off,net_rtg_diff
204319,Jewell Loyd,1235,525,108.395,103.976,4.42,103.909,101.885,2.03,4.486,2.091,2.395
203833,Chelsea Gray,1378,388,111.721,92.078,19.64,104.649,98.163,6.49,7.072,-6.085,13.157
1628932,A'ja Wilson,1258,510,112.885,93.286,19.6,100.445,110.194,-9.75,12.44,-16.908,29.348
1629498,Jackie Young,1336,424,110.54,96.252,14.29,101.34,109.564,-8.22,9.2,-13.312,22.512
1631006,Kierstan Bell,422,1338,99.388,109.507,-10.12,96.81,105.337,-8.53,2.578,4.17,-1.592
1642801,Aaliyah Nye,671,1089,102.636,109.915,-7.28,105.399,102.025,3.37,-2.763,7.89,-10.653
1631019,NaLyssa Smith,607,1153,111.063,105.09,5.97,101.998,103.979,-1.98,9.065,1.111,7.954
1630389,Dana Evans,777,983,100.863,111.969,-11.11,103.976,102.799,1.18,-3.113,9.17,-12.283
