game_number,game_date,opponent_team_display_name,team_home_away,team_score,opponent_team_score,team_winner,point_diff,phase,phase_num,is_playoffs,cumulative_record,off_efg_pct,off_ft_rate,off_tov_pct,off_oreb_pct,def_efg_pct,def_ft_rate,def_tov_pct,def_oreb_pct,ortg,drtg,net_rtg,pace,ts_pct,fg3_rate,fg3_pct,ft_pct,ast_rate,ast_tov_ratio,pct_pts_paint,pct_pts_3pt,pct_pts_ft,pts_paint,pts_3pt,pts_ft,win,phase_off_efg,phase_def_efg,phase_ortg,phase_drtg,phase_net_rtg,vs_phase_avg_net_rtg,blowout,close_game,net_rtg_rolling5,off_efg_rolling5,ortg_rolling5,opponent,home_game,streak,season_segment
1,2025-05-17,New York Liberty,away,78,92,False,-14,Phase 1: Rocky Start,1,False,0-1,0.4085365853658536,0.1585365853658536,0.1166588894073728,0.2448979591836734,0.5138888888888888,0.2916666666666667,0.0738552437223042,0.1714285714285714,90.99393373775082,113.24470704086656,-22.25077330311575,83.47999999999999,0.4445964432284541,0.3902439024390244,0.34375,0.8461538461538461,0.6428571428571429,1.8,0.4102564102564102,0.4230769230769231,0.141025641025641,32,33,11,0,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,-19.138652457753395,False,False,-22.25077330311575,0.4085365853658536,90.99393373775082,New York Liberty,False,-1,Early Season
2,2025-05-20,Connecticut Sun,away,87,62,True,25,Phase 1: Rocky Start,1,False,1-1,0.4626865671641791,0.4477611940298507,0.1388888888888889,0.3076923076923077,0.3671875,0.265625,0.198807157057654,0.1944444444444444,109.84848484848484,77.03777335984095,32.81071148864389,79.84,0.5423940149625935,0.3880597014925373,0.3846153846153846,0.8333333333333334,0.6153846153846154,1.4545454545454546,0.3218390804597701,0.3448275862068966,0.2873563218390804,28,30,25,1,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,35.922832334006245,True,False,5.27996909276407,0.43561157626501634,100.42120929311784,Connecticut Sun,False,1,Early Season
3,2025-05-23,Washington Mystics,home,75,72,True,3,Phase 1: Rocky Start,1,False,2-1,0.4057971014492754,0.2898550724637681,0.1015228426395939,0.1891891891891892,0.4833333333333333,0.2833333333333333,0.1961297071129707,0.1935483870967742,95.17766497461928,94.14225941422592,1.0354055603933574,77.64,0.4820051413881748,0.4782608695652174,0.2424242424242424,0.95,0.625,1.875,0.32,0.32,0.2533333333333333,24,24,19,1,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,4.147526405755713,False,True,3.8651145819738324,0.4256734179931027,98.67336118695164,Washington Mystics,True,2,Early Season
4,2025-05-25,Seattle Storm,away,82,102,False,-20,Phase 1: Rocky Start,1,False,2-2,0.5075757575757576,0.303030303030303,0.1466992665036675,0.1470588235294117,0.6571428571428571,0.1714285714285714,0.1353346456692913,0.2,100.24449877750612,125.49212598425196,-25.247627206745847,81.53999999999999,0.5481283422459893,0.3787878787878788,0.36,0.75,0.6551724137931034,1.5833333333333333,0.4634146341463415,0.3292682926829268,0.1829268292682926,38,27,15,0,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,-22.13550636138349,True,False,-3.4130708652060875,0.4461490028887664,99.06614558459026,Seattle Storm,False,-1,Early Season
5,2025-05-30,Los Angeles Sparks,home,96,81,True,15,Phase 1: Rocky Start,1,False,3-2,0.5428571428571428,0.3285714285714285,0.1188777936281502,0.1764705882352941,0.5227272727272727,0.2878787878787879,0.2185526954832443,0.2941176470588235,114.12268188302424,98.34871296745992,15.773968915564296,83.24000000000001,0.5991013479780329,0.3571428571428571,0.48,0.8695652173913043,0.6875,2.2,0.3333333333333333,0.375,0.2083333333333333,32,36,20,1,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,18.88608976092665,True,False,0.42433709094798927,0.4654906308824417,102.07745284427706,Los Angeles Sparks,True,1,Early Season
6,2025-06-01,Seattle Storm,away,75,70,True,5,Phase 1: Rocky Start,1,False,4-2,0.5,0.21875,0.1894896412329459,0.1875,0.4923076923076923,0.1076923076923077,0.2343364578194376,0.1935483870967742,94.74482061647296,86.3344844597928,8.41033615668016,80.12,0.5344925883694414,0.390625,0.4,0.7857142857142857,0.6296296296296297,1.1333333333333333,0.32,0.4,0.1466666666666666,24,30,11,1,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,11.522457002042515,False,True,6.5565589829071715,0.483783313809271,102.8276302200215,Seattle Storm,False,2,Early Season
7,2025-06-07,Golden State Valkyries,away,68,95,False,-27,Phase 1: Rocky Start,1,False,4-3,0.4032258064516129,0.4032258064516129,0.1645569620253164,0.1707317073170731,0.5492957746478874,0.2535211267605634,0.146484375,0.2727272727272727,86.07594936708861,115.966796875,-29.89084750791139,80.46000000000001,0.4657534246575342,0.4032258064516129,0.24,0.72,0.5,0.8461538461538461,0.3823529411764705,0.2647058823529412,0.2647058823529412,26,18,18,0,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,-26.778726662549033,True,False,-5.983752816403884,0.47189116166675776,98.07312312374225,Golden State Valkyries,False,-1,Early Season
8,2025-06-11,Los Angeles Sparks,home,89,97,False,-8,Phase 1: Rocky Start,1,False,4-4,0.4375,0.4027777777777778,0.1061821613968853,0.2093023255813953,0.646551724137931,0.4655172413793103,0.185459940652819,0.1739130434782608,105.0023596035866,119.93076162215628,-14.928402018569685,82.82,0.525011798017933,0.4861111111111111,0.2571428571428571,0.896551724137931,0.4444444444444444,1.3333333333333333,0.3595505617977528,0.3033707865168539,0.2921348314606741,32,27,26,0,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,-11.81628117320733,False,False,-9.176514332196493,0.4782317413769027,100.03806204953571,Los Angeles Sparks,True,-2,Early Season
9,2025-06-13,Dallas Wings,home,88,84,True,4,Phase 1: Rocky Start,1,False,5-4,0.5,0.4516129032258064,0.2186588921282799,0.3225806451612903,0.5285714285714286,0.1571428571428571,0.1832844574780058,0.2352941176470588,106.89990281827018,102.63929618768329,4.260606630586892,82.08,0.5920344456404737,0.4677419354838709,0.3448275862068966,0.9285714285714286,0.5769230769230769,0.8333333333333334,0.3409090909090909,0.3409090909090909,0.2954545454545454,30,30,26,1,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,7.372727475949247,False,True,-3.274867564729945,0.47671658986175114,101.36914285768853,Dallas Wings,True,1,Early Season
10,2025-06-15,Phoenix Mercury,home,70,76,False,-6,Phase 1: Rocky Start,1,False,5-5,0.4296875,0.25,0.2403846153846153,0.3333333333333333,0.4452054794520548,0.1643835616438356,0.1573151546932354,0.3414634146341463,88.56275303643724,99.63293130571576,-11.070178269278529,77.66,0.4926801801801801,0.4375,0.3214285714285714,0.9375,0.6086956521739131,0.7368421052631579,0.2857142857142857,0.3857142857142857,0.2142857142857142,20,27,15,0,0.4777188328912466,0.5,99.97701677775224,103.0891376231146,-3.1121208453623552,-7.958057423916173,False,False,-8.64369700169851,0.4540826612903226,96.25715708837113,Phoenix Mercury,True,-1,Early Season
