team,team_abbrev,is_aces,games,wins,losses,win_pct,win_pct_rank,net_rtg,net_rtg_rank,ortg,ortg_rank,drtg,drtg_rank,off_efg_pct,off_ft_rate,off_tov_pct,off_oreb_pct,def_efg_pct,def_ft_rate,def_tov_pct,def_oreb_pct,pace,ts_pct,fg3_rate,fg3_pct,ast_rate,ppg,opp_ppg,point_diff,pct_pts_paint,pct_pts_3pt,pct_pts_ft,team_style,off_efg_pct_pctile,off_efg_pct_rank,off_ft_rate_pctile,off_ft_rate_rank,off_tov_pct_pctile,off_tov_pct_rank,off_oreb_pct_pctile,off_oreb_pct_rank,def_efg_pct_pctile,def_efg_pct_rank,ortg_pctile,drtg_pctile,net_rtg_pctile,win_pct_pctile,efg_pct,ts_pct_pbp,shot_quality,rim_fgm,rim_fga,rim_freq,rim_fg_pct,rim_ast_pct,smr_fgm,smr_fga,smr_freq,smr_fg_pct,smr_ast_pct,lmr_fgm,lmr_fga,lmr_freq,lmr_fg_pct,lmr_ast_pct,corner3_fgm,corner3_fga,corner3_freq,corner3_fg_pct,corner3_ast_pct,above_break3_fgm,above_break3_fga,above_break3_freq,above_break3_fg_pct,above_break3_ast_pct,rim_or_3_freq,3pt_rate,second_chance_pts,second_chance_pct_of_pts,second_chance_efg,second_chance_ts,assists,assist_pts,ast_to_rim,ast_to_smr,ast_to_lmr,ast_to_corner3,ast_to_ab3,turnovers,live_ball_tov,dead_ball_tov,live_ball_tov_pct,lost_ball,bad_pass,travels,pace_pbp,off_pace,def_pace,blocks,rim_blocks,smr_blocks,lmr_blocks,corner3_blocks,ab3_blocks,steals,lost_ball_steals,bad_pass_steals,fouls_drawn,fta,2pt_and1s,3pt_and1s,sfd_rate,total_midrange_fga,total_midrange_freq,total_3pt_fga,total_3pt_freq,shot_quality_tier,rim_freq_pctile,rim_freq_rank,rim_fg_pct_pctile,rim_fg_pct_rank,smr_freq_pctile,smr_freq_rank,smr_fg_pct_pctile,smr_fg_pct_rank,lmr_freq_pctile,lmr_freq_rank,lmr_fg_pct_pctile,lmr_fg_pct_rank,corner3_freq_pctile,corner3_freq_rank,corner3_fg_pct_pctile,corner3_fg_pct_rank,above_break3_freq_pctile,above_break3_freq_rank,above_break3_fg_pct_pctile,above_break3_fg_pct_rank,rim_or_3_freq_pctile,rim_or_3_freq_rank,shot_quality_pctile,shot_quality_rank,efg_pct_pctile,efg_pct_rank,ts_pct_pctile,ts_pct_rank,second_chance_pts_pctile,second_chance_pts_rank,second_chance_pct_of_pts_pctile,second_chance_pct_of_pts_rank,live_ball_tov_pct_pctile,live_ball_tov_pct_rank,pace_pctile,pace_rank,sfd_rate_pctile,sfd_rate_rank,net_rtg_tier,shot_profile
Minnesota Lynx,MIN,False,45,34,11,0.7555555555555555,1,11.62118912065003,1,108.63670259643416,1,97.01551347578412,1,0.5388888888888889,0.2356209150326797,0.1547917655300205,0.2590847913862719,0.4813037723362012,0.228656518861681,0.1775943980366109,0.2601416613007083,78.81422222222221,0.5693998649785031,0.3699346405228758,0.3763250883392226,0.7235376044568245,85.46666666666667,76.6,8.866666666666667,0.4035361414456578,0.3322932917316692,0.1424856994279771,"Moderate-Pace, Elite-Both-Ways",1.0,1,0.1538461538461538,12,0.7692307692307692,4,0.6153846153846154,6,0.846153846153846,3,1.0,1.0,1.0,1.0,0.5422,0.5713,0.5,540,790,0.2636,0.6835,0.6852,264,623,0.2079,0.4238,0.6402,188,468,0.1562,0.4017,0.5319,100,226,0.0754,0.4425,0.99,322,890,0.297,0.3618,0.8944,0.636,0.3724,465,0.1228,0.558,0.5761,1026,2439,370,169,100,99,288,571,295,276,0.5166,102,193,32,92.86,14.99,16.02,211,90,98,8,4,11,361,91,270,720,707,68,2,0.0893,1091,0.3641,1116,0.3723999999999999,Average,0.5384615384615384,7,0.9230769230769232,2,0.0769230769230769,13,0.7692307692307693,4,0.9230769230769232,2,0.8461538461538461,3,0.5,7,1.0,1,0.6923076923076923,5,1.0,1,0.5384615384615384,7,0.6538461538461539,5,1.0,1,0.9230769230769232,2,0.6153846153846154,6,0.3846153846153846,9,0.3076923076923077,4,0.2307692307692307,11,0.0769230769230769,13,Elite,Balanced
Las Vegas Aces,LVA,True,44,30,14,0.6818181818181818,2,4.005220924487318,5,105.09121231851776,5,101.08599139403044,8,0.5058823529411764,0.2732773109243697,0.1499263219217984,0.2349834983498349,0.4885799404170804,0.2436279377689506,0.1568085057942308,0.2546666666666666,79.72227272727274,0.5521015866919513,0.3825210084033613,0.351493848857645,0.6597701149425287,83.63636363636364,80.72727272727273,2.909090909090909,0.3826086956521739,0.3260869565217391,0.1820652173913043,Moderate-Pace,0.6153846153846154,6,0.6153846153846154,6,0.846153846153846,3,0.2307692307692307,11,0.6153846153846154,6,0.6923076923076923,0.4615384615384615,0.6923076923076923,0.8846153846153846,0.5059,0.552,0.47,280,447,0.1503,0.6264,0.5464,466,1024,0.3442,0.4551,0.5536,159,366,0.123,0.4344,0.6101,109,303,0.1018,0.3597,0.9817,291,835,0.2807,0.3485,0.8454,0.5328,0.3825,472,0.1283,0.5583,0.6044,861,2075,153,258,97,107,246,572,291,281,0.5087,87,204,21,93.74,15.53,15.2,216,69,129,9,1,8,329,104,225,757,813,80,4,0.1066,1390,0.4672,1138,0.3825,Poor,0.0769230769230769,13,0.6153846153846154,6,1.0,1,1.0,1,0.6153846153846154,6,0.9230769230769232,2,0.9230769230769232,2,0.5384615384615384,7,0.5384615384615384,7,0.9230769230769232,2,0.0769230769230769,13,0.0769230769230769,13,0.6153846153846154,6,0.6923076923076923,5,0.6923076923076923,5,0.5384615384615384,7,0.2307692307692307,3,0.3846153846153846,9,0.6153846153846154,6,Above Avg,Midrange-Heavy
Atlanta Dream,ATL,False,44,30,14,0.6818181818181818,2,10.391370468233802,2,107.61791003235496,2,97.22653956412115,2,0.5139075067024129,0.2751340482573726,0.1432199557003861,0.2667578659370725,0.4779535509929317,0.2335913833726018,0.1459261561841605,0.2022251308900523,78.67727272727272,0.5548181894273655,0.4182305630026809,0.3373397435897436,0.7120181405895691,84.36363636363636,76.77272727272727,7.590909090909091,0.4375,0.3402478448275862,0.1737607758620689,"Moderate-Pace, 3PT-Heavy, Elite-Both-Ways",0.6923076923076923,5,0.6923076923076923,5,1.0,1,0.8461538461538461,3,0.9230769230769232,2,0.9230769230769232,0.9230769230769232,0.9230769230769232,0.8846153846153846,0.5139,0.5534,0.52,574,935,0.3133,0.6139,0.6603,271,635,0.2128,0.4268,0.5683,57,166,0.0556,0.3434,0.5789,82,225,0.0754,0.3644,0.9512,339,1023,0.3428,0.3314,0.8791,0.7316,0.4182,493,0.1328,0.5365,0.5632,942,2260,379,154,33,78,298,552,288,264,0.5217,100,188,39,93.34,15.63,15.22,198,100,75,7,3,13,299,105,194,748,821,79,2,0.1152,801,0.2683999999999999,1248,0.4182,Good,0.7692307692307693,4,0.3846153846153846,9,0.1538461538461538,12,0.8461538461538461,3,0.1538461538461538,12,0.2307692307692307,11,0.5,7,0.6153846153846154,6,0.9230769230769232,2,0.6153846153846154,6,1.0,1,0.9615384615384616,1,0.6923076923076923,5,0.7692307692307693,4,0.7692307692307693,4,0.6923076923076923,5,0.5384615384615384,7,0.3076923076923077,10,0.8461538461538461,3,Elite,Modern (Rim+3)
New York Liberty,NYL,False,44,27,17,0.6136363636363636,4,6.10700576907935,3,105.91383126811348,3,99.80682549903412,6,0.5260869565217391,0.2859130434782608,0.1614522717418589,0.2082748948106592,0.4826185834957764,0.2472384665367121,0.156177630166853,0.2641392169049099,80.0740909090909,0.5735815712396654,0.4104347826086956,0.3550847457627119,0.7367613200306984,84.38636363636364,80.31818181818181,4.068181818181818,0.4082951791004579,0.3385402639375168,0.185294909776461,"Moderate-Pace, 3PT-Heavy, Offense-First",0.9230769230769232,2,0.8461538461538461,3,0.4615384615384615,8,0.1538461538461538,12,0.7692307692307692,4,0.8461538461538461,0.6153846153846154,0.8461538461538461,0.7307692307692307,0.5261,0.572,0.5,488,709,0.2466,0.6883,0.6762,294,755,0.2626,0.3894,0.6803,102,231,0.0803,0.4416,0.6176,101,267,0.0929,0.3783,0.9703,318,913,0.3176,0.3483,0.8459,0.657,0.4104,374,0.1007,0.512,0.5616,960,2287,330,200,63,98,269,608,308,300,0.5066,96,212,30,96.32,14.45,15.45,192,72,99,10,2,9,336,83,253,738,822,80,1,0.1147,986,0.3429,1180,0.4105,Average,0.2307692307692307,11,1.0,1,0.5384615384615384,7,0.3076923076923077,10,0.2307692307692307,11,1.0,1,0.6923076923076923,5,0.7692307692307693,4,0.8461538461538461,3,0.8461538461538461,3,0.6923076923076923,5,0.6538461538461539,5,0.9230769230769232,2,1.0,1,0.0769230769230769,13,0.0769230769230769,13,0.1538461538461538,2,0.9230769230769232,2,0.7692307692307693,4,Elite,Modern (Rim+3)
Phoenix Mercury,PHX,False,44,27,17,0.6136363636363636,4,3.802137355654409,6,103.16956851728082,7,99.3674311616264,5,0.5019880715705766,0.2591119946984758,0.1560429103843583,0.2439335887611749,0.4857385398981324,0.2804753820033956,0.1716730938366822,0.2445472571050892,80.43772727272727,0.5417777090372626,0.403247183565275,0.3401807723911257,0.7041284403669725,82.79545454545455,80.11363636363636,2.6818181818181817,0.4144935492725775,0.3409278067526763,0.1682679110623113,"Moderate-Pace, 3PT-Heavy",0.4615384615384615,8,0.3846153846153846,9,0.6153846153846154,6,0.5384615384615384,7,0.6923076923076923,5,0.5384615384615384,0.6923076923076923,0.6153846153846154,0.7307692307692307,0.502,0.5409,0.5,468,766,0.2538,0.611,0.6132,319,758,0.2512,0.4208,0.5705,107,277,0.0918,0.3863,0.729,112,281,0.0931,0.3986,0.9554,302,936,0.3101,0.3226,0.8841,0.6571,0.4032,459,0.126,0.5078,0.5403,921,2216,287,182,78,107,267,594,315,279,0.5303,97,218,19,94.69,14.91,15.5,164,73,76,7,1,7,344,129,215,722,782,80,1,0.1027,1035,0.3429999999999999,1217,0.4032,Average,0.3846153846153846,9,0.3076923076923077,10,0.3846153846153846,9,0.6923076923076923,5,0.3846153846153846,9,0.6153846153846154,6,0.7692307692307693,4,0.9230769230769232,2,0.7692307692307693,4,0.2307692307692307,11,0.7692307692307693,4,0.6538461538461539,5,0.4615384615384615,8,0.5384615384615384,7,0.5,7,0.4615384615384615,8,0.6153846153846154,8,0.5384615384615384,7,0.3076923076923077,10,Above Avg,Modern (Rim+3)
Indiana Fever,IND,False,45,25,20,0.5555555555555556,6,4.471093787027499,4,105.15502634398506,4,100.68393255695756,7,0.5160297927461139,0.2600388601036269,0.1598864502446621,0.2637144745538665,0.5008460236886633,0.2947546531302876,0.1762314100722604,0.2426721199727334,80.46177777777777,0.5532760684853486,0.3481217616580311,0.3469767441860465,0.658137882018479,84.62222222222222,81.0,3.6222222222222222,0.4737394957983193,0.2938550420168067,0.1630777310924369,Moderate-Pace,0.7692307692307693,4,0.4615384615384615,8,0.5384615384615385,7,0.7692307692307693,4,0.4615384615384615,8,0.7692307692307693,0.5384615384615385,0.7692307692307693,0.6153846153846154,0.5165,0.5516,0.51,617,1004,0.3319,0.6145,0.5705,290,672,0.2221,0.4315,0.5931,108,293,0.0969,0.3686,0.6944,92,232,0.0767,0.3966,1.0,273,824,0.2724,0.3313,0.7875,0.681,0.3491,557,0.1492,0.5792,0.6107,906,2119,352,172,75,92,215,614,294,320,0.4788,92,202,49,96.28,14.76,15.15,121,76,43,1,0,1,338,118,220,838,791,68,3,0.095,965,0.319,1056,0.3490999999999999,Good,0.9230769230769232,2,0.4615384615384615,8,0.2307692307692307,11,0.9230769230769232,2,0.4615384615384615,8,0.3846153846153846,9,0.6153846153846154,6,0.8461538461538461,3,0.4615384615384615,8,0.5384615384615384,7,0.8461538461538461,3,0.8461538461538461,3,0.7692307692307693,4,0.6153846153846154,6,1.0,1,0.9230769230769232,2,0.0769230769230769,1,0.8461538461538461,3,0.1538461538461538,12,Above Avg,Modern (Rim+3)
Seattle Storm,SEA,False,44,23,21,0.5227272727272727,7,2.1802930554326707,7,101.47922680354476,8,99.29893374811208,4,0.5045992115637319,0.230946123521682,0.143486123122887,0.1994733377221856,0.4967320261437908,0.2758857929136566,0.1848470503370077,0.2575438596491228,80.79772727272727,0.5388689418248184,0.3189881734559789,0.3419155509783728,0.6846715328467153,82.13636363636364,80.0909090909091,2.0454545454545454,0.4753735473159933,0.2755949086884339,0.1499723298284449,"Moderate-Pace, Paint-Focused",0.5384615384615384,7,0.0769230769230769,13,0.9230769230769232,2,0.0769230769230769,13,0.5384615384615385,7,0.4615384615384615,0.7692307692307692,0.5384615384615384,0.5,0.5046,0.5377,0.49,535,800,0.2628,0.6688,0.6206,359,897,0.2947,0.4002,0.6295,144,376,0.1235,0.383,0.5764,79,213,0.07,0.3709,1.0,253,758,0.249,0.3338,0.8617,0.5818,0.319,410,0.1134,0.5304,0.5726,938,2173,332,226,83,79,218,539,297,242,0.551,84,213,37,94.02,15.47,15.17,223,93,118,6,0,6,373,108,265,730,703,73,2,0.0967,1273,0.4182,971,0.319,Average,0.4615384615384615,8,0.7692307692307693,4,0.8461538461538461,3,0.4615384615384615,8,0.6923076923076923,5,0.5384615384615384,7,0.3846153846153846,9,0.6923076923076923,5,0.3076923076923077,10,0.7692307692307693,4,0.3846153846153846,9,0.3461538461538461,9,0.5384615384615384,7,0.4615384615384615,8,0.1538461538461538,12,0.1538461538461538,12,0.8461538461538461,11,0.4615384615384615,8,0.2307692307692307,11,Above Avg,Balanced
Golden State Valkyries,GSV,False,44,23,21,0.5227272727272727,7,1.7161180938312128,8,100.44170856632677,9,98.72559047249555,3,0.4815137774677363,0.2821764911056854,0.1662280907852074,0.2596348884381338,0.4717143842704381,0.2738875474301483,0.1540107454825474,0.2402597402597402,77.3559090909091,0.5305681733561695,0.4583188001395186,0.3249619482496195,0.6983718937446444,77.72727272727273,76.3409090909091,1.3863636363636365,0.3695906432748538,0.3745614035087719,0.1926900584795321,"Slow-Paced, 3PT-Heavy, Defense-First",0.3076923076923077,10,0.7692307692307693,4,0.3076923076923076,10,0.6923076923076923,5,1.0,1,0.3846153846153846,0.846153846153846,0.4615384615384615,0.5,0.4815,0.5292,0.49,339,551,0.1922,0.6152,0.5752,320,763,0.2661,0.4194,0.5469,81,239,0.0834,0.3389,0.7654,102,321,0.112,0.3178,0.9804,325,993,0.3464,0.3273,0.8708,0.6505,0.4583,452,0.1322,0.4755,0.5172,815,2013,195,175,62,100,283,623,333,290,0.5345,117,216,47,90.34,16.42,15.46,126,46,72,2,1,5,301,94,207,779,809,65,4,0.1052,1002,0.3495,1314,0.4584,Average,0.1538461538461538,12,0.5384615384615384,7,0.6923076923076923,5,0.6153846153846154,6,0.3076923076923077,10,0.1538461538461538,12,1.0,1,0.0769230769230769,13,1.0,1,0.3846153846153846,9,0.6153846153846154,6,0.3461538461538461,9,0.3076923076923077,10,0.3461538461538461,9,0.3076923076923077,10,0.6153846153846154,6,0.6923076923076923,9,0.0769230769230769,13,0.5384615384615384,7,Above Avg,Modern (Rim+3)
Los Angeles Sparks,LAS,False,44,21,23,0.4772727272727273,9,-3.3907243575985437,9,104.17012149956332,6,107.56084585716184,10,0.5213414634146342,0.30420054200542,0.1719124849369285,0.2412371134020618,0.5243941326530612,0.2305484693877551,0.1535000221660682,0.2638888888888889,82.12772727272727,0.5630213437223643,0.3817750677506775,0.3371783496007098,0.6753150481838399,85.6590909090909,88.22727272727273,-2.5681818181818183,0.4844786415494826,0.3024674980100822,0.1833377553727779,Fast-Paced,0.8461538461538461,3,0.9230769230769232,2,0.2307692307692307,11,0.3846153846153846,9,0.2307692307692307,11,0.6153846153846154,0.3076923076923076,0.3846153846153846,0.3846153846153846,0.5213,0.5618,0.52,691,1032,0.3496,0.6696,0.6339,241,678,0.2297,0.3555,0.5436,37,115,0.039,0.3217,0.5135,97,277,0.0938,0.3502,0.9485,283,850,0.2879,0.3329,0.8163,0.7314,0.3818,457,0.1213,0.5345,0.5603,911,2145,438,131,19,92,231,660,374,286,0.5667,126,248,30,95.66,14.73,15.37,135,62,62,2,2,7,319,100,219,804,898,102,0,0.1231,793,0.2687,1127,0.3817,Good,1.0,1,0.8461538461538461,3,0.3076923076923077,10,0.1538461538461538,12,0.0769230769230769,13,0.0769230769230769,13,0.8461538461538461,3,0.3846153846153846,9,0.6153846153846154,6,0.6923076923076923,5,0.9230769230769232,2,0.9615384615384616,1,0.8461538461538461,3,0.8461538461538461,3,0.3846153846153846,9,0.2307692307692307,11,1.0,13,0.7692307692307693,4,0.9230769230769232,2,Below Avg,Modern (Rim+3)
Washington Mystics,WAS,False,44,16,28,0.3636363636363636,10,-5.50824039973476,10,97.26600561701152,11,102.77424601674628,9,0.4833987861478043,0.3248839700107104,0.1794004699948415,0.2352122477383437,0.5049913941480206,0.2833046471600688,0.1566383743972143,0.2240779401530967,79.33545454545455,0.5300805897419879,0.2691895751517315,0.3289124668435013,0.6878048780487804,77.13636363636364,81.56818181818181,-4.431818181818182,0.4843842074248674,0.2192103712433706,0.2021213906894519,"Moderate-Pace, Paint-Focused",0.3846153846153846,9,1.0,1,0.1538461538461538,12,0.3076923076923077,10,0.3846153846153846,9,0.2307692307692307,0.3846153846153846,0.3076923076923077,0.3076923076923077,0.4834,0.5292,0.49,563,874,0.312,0.6442,0.6394,292,817,0.2917,0.3574,0.5651,127,356,0.1271,0.3567,0.7559,60,183,0.0653,0.3279,0.9667,188,571,0.2039,0.3292,0.883,0.5812,0.2692,416,0.1226,0.5258,0.5668,845,1914,360,165,96,58,166,671,349,322,0.5201,123,226,42,94.78,15.66,14.73,140,58,57,5,6,14,286,80,206,862,910,101,0,0.1248,1173,0.4188,754,0.2692,Average,0.6923076923076923,5,0.6923076923076923,5,0.7692307692307693,4,0.2307692307692307,11,0.7692307692307693,4,0.3076923076923077,10,0.3076923076923077,10,0.1538461538461538,12,0.0769230769230769,13,0.4615384615384615,8,0.3076923076923077,10,0.3461538461538461,9,0.3846153846153846,9,0.3461538461538461,9,0.2307692307692307,11,0.3076923076923077,10,0.3846153846153846,5,0.6153846153846154,6,1.0,1,Struggling,Balanced
