season,player_name,team,per,per_min,ws,off_ws,def_ws,ws_40,off_ws_40,def_ws_40,off_rtg,def_rtg,season_type
2025,Monique Akoa Makani,,12.3,10811,2.2,1.4,0.8,0.1,0.06,0.04,107.1,103,2
2025,Julie Allemand,,11.4,10962,1.6,1.3,0.3,0.07,0.05,0.01,110.3,107.8,2
2025,Rebecca Allen,,7.9,6497,0,-0.1,0.2,0,-0.01,0.01,90.2,108.6,2
2025,Lindsay Allen,,6.6,2960,-0.1,0,-0.1,-0.01,0,-0.01,92.7,112.6,2
2025,Laeticia Amihere,,18.3,7020,1.5,0.7,0.9,0.16,0.07,0.09,105.1,92.4,2
2025,Georgia Amoore,,--,--,--,0,--,--,--,--,--,--,2
2025,Yvonne Anderson,,1.1,13,0,0,0,0.01,-0.11,0.12,50.2,86.5,2
2025,Ariel Atkins,,16,15499,2,1.5,0.4,0.08,0.06,0.02,103.6,106.5,2
2025,Shakira Austin,,18.5,16164,1.6,0.2,1.5,0.07,0.01,0.07,92.9,96.8,2
2025,Marième Badiane,,-18,-192,-0.1,-0.1,0,-0.27,-0.4,0.14,14.9,83.2,2
2025,Rachel Banham,,10.6,11458,1,1.3,-0.2,0.04,0.05,-0.01,103.1,111.8,2
2025,Sarah Ashlee Barker,,4.2,2019,-0.5,-0.4,0,-0.04,-0.04,0,81.4,110.3,2
2025,Kierstan Bell,,10.5,4487,0.5,0.1,0.4,0.05,0.01,0.03,94.9,103.3,2
2025,Grace Berger,,6,2527,-0.3,-0.3,0,-0.03,-0.03,0,82.1,110.3,2
2025,Chloe Bibby,,14.8,2279,0.5,0.3,0.2,0.13,0.08,0.05,109.7,99.2,2
2025,Monique Billings,,16.7,7916,1.7,0.8,0.8,0.14,0.07,0.07,107.7,96.2,2
2025,DeWanna Bonner,,15.2,11865,2.6,1.6,1,0.13,0.08,0.05,111.1,100.2,2
2025,Aliyah Boston,,22.5,29890,6.7,4.7,2,0.2,0.14,0.06,117.9,98.1,2
2025,Crystal Bradford,,6.8,165,0,0,0,0.01,-0.05,0.06,78.2,98.4,2
2025,Cameron Brink,,15.2,3705,0.4,0.1,0.3,0.07,0.01,0.06,94.1,98.9,2
2025,Kalani Brown,,18.6,6903,1.6,1,0.6,0.17,0.11,0.06,119,97.5,2
2025,Lexie Brown,,8.5,1929,0.4,0.2,0.2,0.07,0.03,0.04,103.1,103,2
2025,Jaelyn Brown,,6.5,849,-0.1,0,-0.1,-0.03,-0.01,-0.02,88.9,114.4,2
2025,Paige Bueckers,,21.9,26269,4.5,4.1,0.3,0.15,0.14,0.01,115.5,107.8,2
2025,Kennedy Burke,,13.9,10868,2.1,1.4,0.7,0.11,0.07,0.04,110.4,103.1,2
2025,Rae Burrell,,13,6719,0.7,0.7,0,0.06,0.06,0,104.5,110.1,2
2025,Veronica Burton,,19,24566,6.1,4.3,1.8,0.19,0.13,0.06,117.1,99.1,2
2025,Maya Caldwell,,12.6,9597,2.2,1,1.2,0.12,0.05,0.06,106.9,97.4,2
2025,Jordin Canada,,16.5,12900,2.7,1.3,1.4,0.14,0.07,0.07,104,96.4,2
2025,Emma Cannon,,13.6,2893,0.4,0.4,0.1,0.08,0.07,0.01,107.5,107.4,2
2025,Kamilla Cardoso,,19.6,21647,2.8,2.4,0.4,0.1,0.09,0.01,107,107.2,2
2025,Bridget Carleton,,10,12270,3.2,1.7,1.5,0.1,0.06,0.05,112.2,100.7,2
2025,DiJonai Carrington,,12.9,8768,0.8,0.3,0.5,0.05,0.02,0.03,95.2,103.9,2
2025,Tina Charles,,17.9,21819,2.2,1.9,0.2,0.07,0.06,0.01,101.6,108.5,2
2025,Kaila Charles,,14,8608,1.6,0.8,0.8,0.11,0.05,0.05,104.4,100,2
2025,Kaitlyn Chen,,4.8,1184,0,-0.2,0.2,0.01,-0.02,0.03,84.8,104,2
2025,Sonia Citron,,16.4,23171,4.3,3,1.2,0.12,0.09,0.03,110,103.3,2
2025,Caitlin Clark,,16.6,6710,0.8,0.2,0.6,0.08,0.02,0.06,94.3,98.6,2
2025,Alysha Clark,,7.1,5868,1,0.3,0.8,0.05,0.01,0.04,97.3,102.9,2
2025,Natasha Cloud,,14.3,16970,3.5,2.2,1.3,0.12,0.07,0.04,108.1,101.7,2
2025,Nia Coffey,,14.1,6402,1.4,0.6,0.8,0.12,0.05,0.07,102.7,96.4,2
2025,Napheesa Collier,,30.2,32106,7.6,5.4,2.2,0.29,0.2,0.08,122.9,93.8,2
2025,Sydney Colson,,5.9,2365,0.1,-0.2,0.3,0.01,-0.02,0.03,86.5,103.8,2
2025,Zia Cooke,,5.8,1524,-0.1,-0.3,0.2,-0.01,-0.04,0.03,83.2,103.3,2
2025,Kahleah Copper,,14.7,11094,1.5,0.8,0.8,0.08,0.04,0.04,98.4,101.8,2
2025,Sophie Cunningham,,12.7,9586,2.3,1.5,0.8,0.12,0.08,0.04,117.6,102,2
2025,Damiris Dantas,,8.6,3777,0.4,0,0.4,0.03,0,0.03,92.1,103.6,2
2025,Marquesha Davis,,0.5,26,-0.1,-0.1,0,-0.09,-0.11,0.02,66.7,106.5,2
2025,Kariata Diaby,,5.7,589,-0.1,-0.1,0,-0.03,-0.03,-0.01,84.4,111.4,2
2025,Skylar Diggins,,18.8,25297,4.8,3.4,1.3,0.14,0.1,0.04,108.5,102.1,2
2025,Stefanie Dolson,,8.5,5541,1,0.5,0.5,0.06,0.03,0.03,102.3,104.2,2
2025,Aaliyah Edwards,,13,6951,0.9,0.2,0.7,0.07,0.02,0.05,95.7,100.4,2
2025,Emily Engstler,,14.5,7442,1.1,0.2,0.9,0.09,0.02,0.07,96.3,96.5,2
2025,Dana Evans,,11,8551,1.1,0.9,0.3,0.06,0.04,0.01,101.2,107.2,2
2025,Sania Feagin,,0.6,48,-0.2,-0.2,0,-0.13,-0.13,0,65.9,109.2,2
2025,Leonie Fiebich,,12.2,12656,3.1,1.9,1.2,0.12,0.07,0.05,115.1,101.2,2
2025,Temi Fágbénlé,,12.8,11845,2.4,1,1.3,0.1,0.04,0.06,102.9,98.5,2
2025,Rebekah Gardner,,12.5,6265,1.5,0.9,0.6,0.12,0.07,0.04,113.8,101.3,2
2025,Luisa Geiselsoder,,11.8,7401,0.7,0.5,0.2,0.05,0.03,0.01,101.9,107.5,2
2025,Allisha Gray,,19.6,28457,7.2,5.2,2,0.2,0.14,0.06,119,99.2,2
2025,Chelsea Gray,,15.3,20967,3.7,2.2,1.4,0.11,0.07,0.04,105.5,101.9,2
2025,Brittney Griner,,16.2,13154,2.4,1.1,1.4,0.12,0.05,0.07,102.1,96.6,2
2025,Megan Gustafson,,5.7,1285,0.2,0.1,0.2,0.04,0.01,0.03,95.5,104.3,2
2025,Bree Hall,,-15,-261,-0.1,-0.1,0,-0.24,-0.33,0.09,33.7,92.2,2
2025,Dearica Hamby,,23.7,32604,5.5,4.7,0.9,0.16,0.14,0.03,113.7,105,2
2025,Tyasha Harris,,13.4,1104,0.2,0.2,0,0.09,0.1,-0.01,124.9,111.3,2
2025,Isabelle Harrison,,17.3,6240,1.2,0.7,0.5,0.13,0.08,0.06,105.9,98.5,2
2025,Bria Hartley,,10.7,9253,0.4,0.6,-0.1,0.02,0.03,-0.01,97,111.2,2
2025,Tiffany Hayes,,14.1,9863,2,1.3,0.7,0.12,0.08,0.04,106.7,101.9,2
2025,Lexi Held,,10,4685,0.6,0.1,0.5,0.05,0.01,0.04,93.8,102.1,2
2025,Natisha Hiedeman,,18.1,15031,3.4,2.4,1.1,0.16,0.11,0.05,114,100.1,2
2025,Naz Hillmon,,15.7,17612,4.4,2.8,1.6,0.16,0.1,0.06,117.8,98.7,2
2025,Myisha Hines-Allen,,13.5,11924,1.1,0.6,0.5,0.05,0.03,0.02,97.7,105.4,2
2025,MacKenzie Holmes,,13.6,793,0.2,0.1,0.1,0.16,0.09,0.07,156.5,96.4,2
2025,Joyner Holmes,,-3.7,-107,-0.1,-0.1,0,-0.15,-0.16,0.02,60,106.9,2
2025,Rhyne Howard,,18.2,20907,4.9,3.1,1.8,0.17,0.11,0.06,111,97.6,2
2025,Natasha Howard,,19.1,20269,4.1,2.4,1.7,0.15,0.09,0.06,109.3,97.4,2
2025,Lexie Hull,,10.4,12374,2.7,1.4,1.2,0.09,0.05,0.04,106.4,101.7,2
2025,Sabrina Ionescu,,20.6,24600,4.5,3.2,1.3,0.15,0.11,0.04,107,101.3,2
2025,Kiki Iriafen,,17.3,20530,3.3,2.1,1.2,0.11,0.07,0.04,103.8,101.9,2
2025,Rickea Jackson,,12.5,14675,0.9,1.2,-0.3,0.03,0.04,-0.01,99.6,112,2
2025,Aziaha James,,12.5,8402,0.5,0.4,0.1,0.03,0.02,0.01,96.5,109,2
2025,Moriah Jefferson,,9.3,327,0,0,0,0.03,0.04,-0.01,104.7,112,2
2025,Marine Johannes,,10.8,8702,1,0.4,0.7,0.05,0.02,0.03,96.3,103.7,2
2025,Brionna Jones,,22.4,26216,6.3,4.2,2.1,0.22,0.14,0.07,119.1,95.9,2
2025,Jonquel Jones,,20.4,16905,3.4,2.2,1.3,0.17,0.1,0.06,110.8,97.9,2
2025,Haley Jones,,11.4,6789,0.4,0,0.3,0.03,0,0.02,92.6,105.6,2
2025,Liatu King,,8.4,1137,0.1,0.1,0,0.02,0.02,-0.01,98.5,111.5,2
2025,Elizabeth Kitley,,1.2,115,-0.1,-0.3,0.1,-0.06,-0.12,0.05,58.1,99.1,2
2025,Maria Kliundikova,,19.6,7298,1.5,0.7,0.9,0.16,0.07,0.09,106.5,91.6,2
2025,Sika Koné,,7.1,607,0.1,0,0.1,0.06,0.02,0.04,96.4,101.5,2
2025,Anastasiia Olairi Kosu,,13.9,1105,0.2,0.1,0.1,0.08,0.04,0.04,98.7,101.6,2
2025,Leila Lacan,,15.8,10504,1.6,1,0.6,0.1,0.06,0.03,105.2,103.3,2
2025,Kitija Laksa,,7.6,4744,0.8,0.4,0.4,0.05,0.03,0.02,99.3,105.6,2
2025,Kyra Lambert,,0,0,0,0,0,-0.02,0,-0.02,--,113.5,2
2025,Carla Leite,,11.6,7394,1.1,0.5,0.7,0.07,0.03,0.04,96.9,101.6,2
2025,Kyara Linskens,,4.8,128,0,0,0.1,0.02,-0.07,0.09,68.3,92.9,2
2025,Jewell Loyd,,13.4,16739,2.9,2,1,0.09,0.06,0.03,106.5,104,2
2025,Marina Mabrey,,11.3,12490,-0.1,0,-0.1,0,0,0,91.9,110.6,2
2025,Natasha Mack,,19.1,11920,2.8,1.5,1.3,0.18,0.1,0.09,124.8,93.3,2
2025,Ezi Magbegor,,15.9,19090,4.2,2.3,1.9,0.14,0.08,0.06,112.9,97.5,2
2025,Dominique Malonga,,20.1,12082,2,0.9,1.1,0.13,0.06,0.07,102,96.2,2
2025,Rayah Marshall,,7.2,649,-0.1,-0.1,0,-0.04,-0.06,0.02,79.9,106,2
