game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,fast_break_points,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,largest_lead,offensive_rebounds,points_in_paint,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnover_points,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name,opponent_team_color,opponent_team_alternate_color,opponent_team_logo,opponent_team_score
401736330,2025,2,2025-08-17,2025-08-17 15:30:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,106,True,28,3,24,3,50.0,34,68,0,17,87.0,20,23,23,4,32,9,0,0,52.9,18,34,28,0,8,10,8,3,s:40~l:59~t:3,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,87
401736326,2025,2,2025-08-15,2025-08-15 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,86,True,21,5,27,11,45.5,30,66,0,15,84.6,22,26,10,12,34,6,0,0,22.2,4,18,39,0,11,7,11,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3c286e,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,83
401736320,2025,2,2025-08-13,2025-08-13 21:30:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,83,True,15,7,25,11,38.5,25,65,0,17,82.1,23,28,6,14,20,7,1,0,34.5,10,29,39,0,11,10,10,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NY,New York Liberty,Liberty,86cebc,000000,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,77
401736314,2025,2,2025-08-10,2025-08-10 21:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,94,True,24,1,29,8,49.3,35,71,0,12,76.2,16,21,13,11,42,8,3,0,32.0,8,25,40,0,18,16,15,18,s:40~l:59~t:18,connecticut-sun,Connecticut,Sun,CON,Connecticut Sun,Sun,f05023,0a2240,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,86
401736307,2025,2,2025-08-08,2025-08-08 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,90,True,20,3,27,6,44.9,31,69,0,16,78.3,18,23,19,11,34,5,1,0,45.5,10,22,38,0,13,15,12,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,2c5235,fee11a,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,86
401736301,2025,2,2025-08-06,2025-08-06 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,78,True,15,5,22,9,45.0,27,60,0,19,76.0,19,25,10,9,32,9,3,0,18.5,5,27,31,0,16,7,13,129689,s:40~l:59~t:129689,golden-state-valkyries,Golden State,Valkyries,GS,Golden State Valkyries,Valkyries,b38fcf,000000,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,72
401736294,2025,2,2025-08-03,2025-08-03 18:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,101,True,24,3,28,6,46.1,35,76,0,15,81.3,13,16,28,18,28,10,1,1,45.0,18,40,46,1,16,13,15,129689,s:40~l:59~t:129689,golden-state-valkyries,Golden State,Valkyries,GS,Golden State Valkyries,Valkyries,b38fcf,000000,https://a.espncdn.com/i/teamlogos/wnba/500/gs.png,77
401736290,2025,2,2025-08-02,2025-08-02 15:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,home,58,False,18,7,18,2,34.3,23,67,0,17,50.0,4,8,2,4,28,6,1,0,30.8,8,26,22,0,16,23,15,8,s:40~l:59~t:8,minnesota-lynx,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,266092,79bc43,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,111
401736280,2025,2,2025-07-29,2025-07-29 22:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,89,True,25,6,24,4,46.2,36,78,0,17,100.0,8,8,21,12,44,13,1,1,28.1,9,32,36,1,14,9,13,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,552583,fdb927,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,74
401736273,2025,2,2025-07-27,2025-07-27 16:00:00-04:00,17,s:40~l:59~t:17,las-vegas-aces,Las Vegas,Aces,LV,Las Vegas Aces,Aces,a7a8aa,000000,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,away,106,True,30,7,26,16,48.6,36,74,0,19,79.2,19,24,26,11,34,6,0,0,41.7,15,36,37,0,10,10,10,3,s:40~l:59~t:3,dallas-wings,Dallas,Wings,DAL,Dallas Wings,Wings,002b5c,c4d600,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,80
