Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Date,GameId,Opponent,PenaltyAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffFTReboundPct,OffAtRimReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,PenaltyCorner3FGM,HeaveAttempts,LostBallOutOfBoundsTurnovers,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,Travels,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,Arc3PctBlocked,Transition Take Fouls Drawn,Charge Fouls,Transition Take Fouls,Charge Fouls Drawn,Season,3SecondViolations
40:00,84,83,22,13,10,167,10.0,13,1.0,1.0,1.0,8,24,5.0,5,1.0,8.0,3.0,5,21,1.0,2.0,7.0,23,42,6,29,25,89,3.0,5.0,1.0,2.0,4.0,13,2.0,5,10.0,16.0,20,26,20,12,6.0,2.0,21,5,6.0,13,4,17,3,1.0,4.0,4,5.0,38,7.0,3.0,13,20,1.0,34,10,44,1.0,7,5.0,2.0,6,2.0,5,5,1.0,11,1.0,5.0,5,12,3.0,1.0,23,2.0,3.0,29,1.0,9,5.0,3,2.0,1.0,1.0,1.0,2.0,5,1.0,76,20.0,22,1.0,5.0,0.5652173913043478,0.5909090909090909,0.6666666666666666,0.20689655172413793,0.5,0.20689655172413793,0.5476190476190477,0.6,0.4,0.4507042253521127,0.6428571428571429,0.13333333333333333,0.5297619047619048,0.7222222222222222,0.43478260869565216,0.4084507042253521,0.14285714285714285,0.07692307692307693,0.20833333333333334,0.5454545454545454,0.5,0.7692307692307693,0.15789473684210525,0.6842105263157895,0.3181818181818182,0.7333333333333333,0.24390243902439024,0.1875,0.4,0.14285714285714285,0.6666666666666666,0.8888888888888888,0.75,0.6666666666666666,1.0,0.02857142857142857,100.2,0.2,13.714285714285714,15.036144578313253,13.214285714285714,14.036144578313253,0.18309859154929578,0.7692307692307693,0.8333333333333334,0.4,0.3380281690140845,0.3333333333333333,0.42105263157894735,0.5,0.07042253521126761,1.0,1.0,1.0,0.11267605633802817,0.125,0.125,1.0,0.29577464788732394,0.23809523809523808,0.23809523809523808,0.6,0.14285714285714285,1.0,0.2857142857142857,0.5,1.0,0.06666666666666667,0.2,0.4666666666666667,0.5915492957746479,0.23809523809523808,0.4935471428571428,0.4374375,0.46269,0.11392405063291139,0.18,0.14606741573033707,0.2247191011235955,6.519047619047619,25.393103448275863,0.2619047619047619,2024-05-14,1022400003,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
40:00,81,82,15,7,10,163,2.0,5,,1.0,1.0,15,34,1.0,3,4.0,7.0,1.0,9,24,1.0,5.0,3.0,18,42,13,31,14,89,1.0,5.0,2.0,6.0,2.0,10,5.0,6,4.0,7.0,20,28,8,27,12.0,,24,9,5.0,14,9,23,6,3.0,1.0,12,1.0,55,7.0,4.0,8,15,3.0,26,12,38,1.0,10,5.0,5.0,11,,7,1,4.0,12,,3.0,8,14,1.0,1.0,18,2.0,3.0,16,2.0,7,2.0,3,1.0,1.0,,,3.0,4,2.0,79,20.0,15,,2.0,0.7777777777777778,0.7777777777777778,0.6923076923076923,0.41935483870967744,0.3333333333333333,0.41935483870967744,0.42857142857142855,0.2,0.8333333333333334,0.5136986301369864,0.36363636363636365,0.65,0.55625,0.4166666666666667,0.7692307692307693,0.4246575342465753,0.11904761904761904,0.6,0.058823529411764705,0.9166666666666666,1.0,0.6818181818181818,0.16666666666666666,0.8888888888888888,0.3888888888888889,0.7419354838709677,0.2619047619047619,0.15789473684210525,0.4,0.3333333333333333,,0.6470588235294118,0.8,0.8888888888888888,,0.02702702702702703,97.8,0.5,15.037037037037036,14.414634146341463,14.234567901234568,13.853658536585366,0.0684931506849315,0.4,1.0,0.5,0.4657534246575342,0.4411764705882353,0.46875,0.8,0.0410958904109589,0.3333333333333333,0.3333333333333333,1.0,0.0958904109589041,0.5714285714285714,0.5714285714285714,0.75,0.3287671232876712,0.375,0.375,0.6666666666666666,0.09090909090909091,,0.45454545454545453,0.2,,0.1,0.1,0.3,0.4931506849315068,0.375,0.47873082191780825,0.499325,0.52637,0.08974358974358974,0.14893617021276595,0.11235955056179775,0.2247191011235955,6.961904761904761,24.46451612903226,0.18518518518518517,2024-05-18,1022400011,LAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.09090909090909091,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,2024,
40:00,82,82,15,14,10,164,1.0,3,,1.0,1.0,19,34,2.0,10,4.0,9.0,2.0,7,22,,1.0,4.0,22,47,11,31,11,88,4.0,9.0,,1.0,,8,1.0,7,6.0,4.0,15,24,20,30,3.0,2.0,21,7,7.0,12,10,22,6,4.0,1.0,10,1.0,54,5.0,6.0,14,18,4.0,36,11,47,,5,2.0,3.0,7,,7,2,,9,1.0,1.0,3,18,3.0,1.0,15,1.0,,15,1.0,8,,4,,,,,4.0,4,3.0,80,15.0,15,4.0,,0.5454545454545454,0.5714285714285714,0.9090909090909091,0.3548387096774194,,0.36666666666666664,0.46808510638297873,0.4444444444444444,0.14285714285714285,0.4935897435897436,0.4,0.4230769230769231,0.5176470588235295,0.4,0.46875,0.3974358974358974,0.14893617021276595,0.3333333333333333,0.17647058823529413,0.7777777777777778,1.0,0.75,0.24,0.875,0.2777777777777778,0.8,0.2558139534883721,0.2,0.3076923076923077,0.2,,0.7894736842105263,0.6,0.8666666666666667,1.0,,98.4,0.75,14.975609756097562,14.292682926829269,14.012195121951219,13.75609756097561,0.038461538461538464,0.3333333333333333,0.5,1.0,0.4358974358974359,0.5588235294117647,0.6785714285714286,0.5263157894736842,0.1282051282051282,0.2,0.2,0.5,0.11538461538461539,0.4444444444444444,0.4444444444444444,1.0,0.28205128205128205,0.3181818181818182,0.3181818181818182,0.8571428571428571,0.1,,0.1,,,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.4358974358974359,0.3333333333333333,0.44722987012987014,0.3960714285714286,0.43561923076923076,0.09411764705882353,0.14814814814814814,0.09090909090909091,0.17045454545454544,9.214893617021277,25.677419354838708,0.18292682926829268,2024-05-21,1022400018,PHO,,,,2.0,3.0,,,0.5,,0.5,,,,,0.5,1.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,2024,
40:00,81,80,26,12,7,161,1.0,2,1.0,1.0,,15,27,6.0,9,1.0,8.0,2.0,12,27,1.0,2.0,10.0,22,38,13,35,16,99,4.0,5.0,1.0,2.0,4.0,15,6.0,10,12.0,6.0,27,26,18,33,6.0,2.0,26,12,3.0,13,11,24,10,1.0,1.0,7,5.0,59,6.0,2.0,12,20,,32,8,40,1.0,7,5.0,2.0,4,2.0,2,4,2.0,8,,2.0,5,14,1.0,,16,1.0,,18,3.0,8,1.0,4,,,2.0,,2.0,4,4.0,84,27.0,26,1.0,1.0,0.5909090909090909,0.6190476190476191,0.8461538461538461,0.37142857142857144,0.5,0.38235294117647056,0.5789473684210527,0.8,0.6,0.5684931506849316,0.7857142857142857,0.4772727272727273,0.61875,0.9375,0.54,0.4794520547945205,0.07894736842105263,0.5,0.07407407407407407,0.5,,0.9090909090909091,0.125,0.75,0.2857142857142857,0.8421052631578947,0.21621621621621623,0.08333333333333333,0.2857142857142857,0.2857142857142857,1.0,0.8571428571428571,1.0,0.7142857142857143,1.0,0.029411764705882353,96.6,1.0,13.925925925925926,15.9,13.271604938271604,15.7,0.0273972602739726,0.5,1.0,1.0,0.3698630136986301,0.5555555555555556,0.6,0.4666666666666667,0.1232876712328767,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.1095890410958904,0.125,0.125,1.0,0.3698630136986301,0.4444444444444444,0.4444444444444444,0.8333333333333334,0.14285714285714285,1.0,0.2857142857142857,0.5,,,0.09090909090909091,0.45454545454545453,0.5068493150684932,0.46153846153846156,0.48517847222222227,0.3909,0.4779285714285714,0.11392405063291139,0.18604651162790697,0.15151515151515152,0.2727272727272727,9.307894736842105,24.97714285714286,0.32098765432098764,2024-05-25,1022400027,IND,,,,3.0,3.0,,,0.25,,1.0,,,,,0.3,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.027777777777777776,,,,,,,,,,,,,,2024,
40:00,79,78,10,6,9,157,13.0,27,2.0,6.0,2.0,4,9,3.0,9,4.0,8.0,2.0,6,19,2.0,5.0,2.0,20,45,10,27,10,80,2.0,6.0,2.0,5.0,1.0,11,3.0,3,4.0,2.0,14,30,10,24,6.0,2.0,19,6,4.0,15,8,23,4,4.0,10.0,2,3.0,54,6.0,7.0,13,19,,32,13,45,3.0,6,3.0,3.0,8,2.0,7,8,1.0,16,2.0,3.0,4,12,,,16,1.0,1.0,14,6.0,10,,4,1.0,1.0,3.0,,1.0,5,2.0,69,14.0,10,1.0,,0.75,0.7894736842105263,0.8,0.37037037037037035,0.4,0.37037037037037035,0.4444444444444444,0.3333333333333333,1.0,0.4861111111111111,0.45454545454545453,0.8571428571428571,0.5263157894736842,0.5,0.875,0.375,0.08888888888888889,0.1111111111111111,,0.5,,0.7916666666666666,0.28,0.8125,0.35294117647058826,0.8,0.30952380952380953,,0.46153846153846156,,0.7,0.6666666666666666,0.9090909090909091,0.8,1.0,0.08108108108108109,94.2,0.4,16.050632911392405,14.512820512820513,15.49367088607595,14.179487179487179,0.375,0.48148148148148145,0.5416666666666666,0.7692307692307693,0.125,0.4444444444444444,0.4444444444444444,0.5,0.125,0.3333333333333333,0.375,1.0,0.1111111111111111,0.5,0.5714285714285714,1.0,0.2638888888888889,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.5454545454545454,0.3333333333333333,0.45454545454545453,0.4,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.75,0.3157894736842105,0.5319145833333333,0.54758125,0.4808928571428571,0.13157894736842105,0.20408163265306123,0.1375,0.175,6.322222222222222,24.07037037037037,0.12658227848101267,2024-05-29,1022400037,MIN,2.0,,,1.0,2.0,,1.0,0.5,,0.5,,,,1.0,0.5,1.0,,1.0,,0.5,2.0,,,0.5,,1.0,1.0,0.037037037037037035,0.1111111111111111,0.125,,,,,,,,,2024,
40:00,82,82,12,25,7,164,13.0,18,,1.0,4.0,2,18,4.0,12,3.0,10.0,2.0,3,11,,,2.0,19,48,6,21,18,74,1.0,3.0,1.0,2.0,,5,3.0,6,4.0,4.0,13,24,14,18,,,11,3,4.0,12,6,18,3,3.0,8.0,1,3.0,42,1.0,6.0,6,27,,33,7,40,1.0,6,6.0,,5,4.0,2,7,3.0,12,2.0,1.0,11,25,,1.0,17,,1.0,20,2.0,9,1.0,5,,,3.0,,2.0,5,2.0,69,13.0,12,2.0,1.0,0.631578947368421,0.631578947368421,1.0,0.2857142857142857,0.5,0.2857142857142857,0.3958333333333333,0.3333333333333333,0.5,0.4057971014492754,0.5,0.45,0.474025974025974,0.5,0.5416666666666666,0.30434782608695654,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.4166666666666667,,0.8709677419354839,0.20689655172413793,0.75,0.06666666666666667,0.8461538461538461,0.1590909090909091,0.1875,0.125,,0.7,0.8888888888888888,1.0,1.0,0.3333333333333333,0.025,98.4,0.4,14.5,14.768292682926829,13.939024390243903,14.21951219512195,0.2608695652173913,0.7222222222222222,0.8125,0.6153846153846154,0.2608695652173913,0.1111111111111111,0.125,0.5,0.17391304347826086,0.3333333333333333,0.3333333333333333,0.75,0.14492753623188406,0.3,0.3,1.0,0.15942028985507245,0.2727272727272727,0.2727272727272727,1.0,0.2,,,,,0.4,0.2,0.2,0.5652173913043478,0.2727272727272727,0.5097427536231883,0.48925,0.5307999999999999,0.13157894736842105,0.16363636363636364,0.06756756756756757,0.17567567567567569,8.2875,23.861904761904764,0.14634146341463414,2024-05-31,1022400040,ATL,2.0,1.0,2.0,,1.0,,,0.25,,0.2,0.4,0.5,1.0,0.5,,1.0,,,0.25,0.5,1.0,,1.0,,0.047619047619047616,,,,,,1.0,1.0,,,,,,,2024,
40:00,82,81,21,20,9,163,14.0,24,3.0,4.0,2.0,8,10,3.0,8,3.0,11.0,2.0,6,17,1.0,2.0,7.0,25,42,9,28,18,95,3.0,5.0,1.0,4.0,2.0,11,4.0,9,9.0,5.0,25,22,28,27,,6.0,17,6,3.0,11,9,20,6,3.0,7.0,2,2.0,49,6.0,5.0,13,15,,28,11,39,2.0,10,10.0,,5,1.0,4,9,1.0,14,1.0,2.0,6,18,1.0,,20,2.0,,20,3.0,8,2.0,5,,,3.0,,2.0,5,2.0,84,25.0,21,4.0,2.0,0.44,0.5,1.0,0.32142857142857145,0.25,0.32142857142857145,0.5952380952380952,0.6,0.4444444444444444,0.55,0.5,0.5555555555555556,0.6089743589743589,0.55,0.625,0.4,0.07142857142857142,0.125,,0.35714285714285715,,0.5769230769230769,0.3125,0.6842105263157895,0.3157894736842105,0.6222222222222222,0.3142857142857143,,0.2727272727272727,0.375,0.4,0.7272727272727273,0.6,0.7692307692307693,0.5,0.06451612903225806,97.8,0.4,14.829268292682928,14.617283950617283,13.926829268292684,13.716049382716049,0.34285714285714286,0.5833333333333334,0.6666666666666666,0.5,0.14285714285714285,0.8,0.8,0.25,0.11428571428571428,0.375,0.375,0.6666666666666666,0.15714285714285714,0.2727272727272727,0.3,1.0,0.24285714285714285,0.35294117647058826,0.35294117647058826,1.0,0.4444444444444444,0.75,0.2222222222222222,0.5,1.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.7428571428571429,0.35294117647058826,0.5274800000000001,0.52485,0.46386944444444445,0.11842105263157894,0.1702127659574468,0.11578947368421053,0.2631578947368421,6.676190476190476,23.974999999999998,0.25609756097560976,2024-06-05,1022400052,DAL,,,2.0,4.0,4.0,,,0.4444444444444444,,0.4,0.2222222222222222,,,,0.5714285714285714,,,4.0,0.25,,1.0,,1.0,,0.034482758620689655,1.0,1.0,0.03571428571428571,,0.09090909090909091,,,,,,,,,2024,
40:00,84,85,23,20,6,169,1.0,1,,,,10,33,3.0,7,3.0,7.0,3.0,4,19,,,5.0,14,41,7,26,16,65,2.0,4.0,,,4.0,8,7.0,12,8.0,2.0,25,16,12,15,6.0,,19,4,6.0,8,5,13,2,3.0,,5,3.0,31,,6.0,10,24,1.0,35,6,41,1.0,7,4.0,3.0,7,1.0,6,7,1.0,14,,2.0,8,18,1.0,,16,,2.0,19,1.0,9,1.0,10,,,1.0,,7.0,10,7.0,57,25.0,23,4.0,1.0,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.2692307692307692,,0.2692307692307692,0.34146341463414637,0.5,0.5833333333333334,0.3656716417910448,0.5,0.575,0.4276315789473684,0.6666666666666666,0.5681818181818182,0.3880597014925373,0.14634146341463414,,0.18181818181818182,0.5,1.0,0.75,0.2222222222222222,0.8333333333333334,,0.7727272727272727,0.13333333333333333,0.2608695652173913,,,1.0,0.76,0.6666666666666666,0.7777777777777778,1.0,0.02564102564102564,101.4,0.7,13.964285714285714,14.435294117647059,13.547619047619047,13.870588235294118,0.014925373134328358,1.0,1.0,,0.4925373134328358,0.30303030303030304,0.37037037037037035,0.5,0.1044776119402985,0.42857142857142855,0.42857142857142855,1.0,0.1044776119402985,0.42857142857142855,0.42857142857142855,1.0,0.2835820895522388,0.21052631578947367,0.21052631578947367,0.5,,,,,,,0.15,0.25,0.40298507462686567,0.21052631578947367,0.4549283582089552,0.387,0.438505,0.12,0.1836734693877551,0.12307692307692308,0.38461538461538464,8.182926829268293,24.873076923076926,0.27380952380952384,2024-06-07,1022400057,SEA,,,,1.0,3.0,,,0.375,,,,,,,0.2,2.0,,2.0,,0.6666666666666666,4.0,,,,,,,,,,,,2.0,,,,,,2024,
40:00,79,79,32,18,7,158,12.0,20,,1.0,8.0,5,17,2.0,5,3.0,6.0,2.0,8,20,1.0,4.0,9.0,19,42,11,26,21,92,,1.0,2.0,5.0,,6,8.0,17,11.0,8.0,39,16,22,27,6.0,,20,8,6.0,8,9,17,6,3.0,4.0,2,2.0,43,2.0,5.0,13,8,,21,7,28,,7,5.0,2.0,3,1.0,3,3,,6,1.0,3.0,8,16,3.0,1.0,24,1.0,3.0,24,2.0,11,2.0,6,,,3.0,,3.0,6,2.0,86,39.0,32,3.0,2.0,0.42105263157894735,0.42105263157894735,0.8181818181818182,0.4230769230769231,0.4,0.4230769230769231,0.4523809523809524,,0.47058823529411764,0.5220588235294118,0.5,0.5535714285714286,0.5822784810126582,0.5,0.609375,0.38235294117647056,0.14285714285714285,0.1,0.23529411764705882,0.5,,0.4444444444444444,0.21739130434782608,0.8666666666666667,0.14285714285714285,0.6363636363636364,0.1891891891891892,0.16666666666666666,,0.6666666666666666,0.5,0.375,0.5,0.9090909090909091,0.75,,94.8,0.3333333333333333,15.025316455696203,15.354430379746836,14.39240506329114,14.417721518987342,0.29411764705882354,0.6,0.6666666666666666,0.3333333333333333,0.25,0.29411764705882354,0.38461538461538464,0.4,0.07352941176470588,0.4,0.4,1.0,0.08823529411764706,0.5,0.5,1.0,0.29411764705882354,0.4,0.4,0.75,0.16666666666666666,,0.6666666666666666,0.25,1.0,0.2857142857142857,0.07142857142857142,0.32142857142857145,0.6764705882352942,0.4,0.5023036764705883,0.48440000000000005,0.49600535714285715,0.14285714285714285,0.21568627450980393,0.06521739130434782,0.42391304347826086,6.176190476190476,24.403846153846153,0.4050632911392405,2024-06-09,1022400065,LAS,6.0,1.0,1.0,4.0,5.0,,,0.45454545454545453,,0.25,0.16666666666666666,1.0,1.0,0.75,0.4444444444444444,1.0,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,2024,
40:00,78,78,18,15,9,156,1.0,2,,1.0,1.0,16,28,1.0,1,1.0,5.0,,9,26,1.0,4.0,8.0,18,31,10,31,20,86,2.0,3.0,1.0,4.0,2.0,9,3.0,5,8.0,6.0,15,18,18,30,,4.0,26,9,3.0,9,10,19,9,1.0,,9,,48,4.0,6.0,11,15,5.0,31,10,41,2.0,4,2.0,2.0,9,1.0,8,5,1.0,14,2.0,3.0,11,19,,1.0,20,1.0,1.0,26,1.0,8,4.0,1,,,,,1.0,1,1.0,77,15.0,18,,4.0,0.5,0.5625,1.0,0.3225806451612903,0.25,0.3225806451612903,0.5806451612903226,0.6666666666666666,0.6,0.532258064516129,0.5,0.34615384615384615,0.581081081081081,0.5625,0.4411764705882353,0.5,0.0967741935483871,0.5,0.07142857142857142,0.6428571428571429,1.0,0.8333333333333334,0.5,0.9166666666666666,0.2,0.8666666666666667,0.3125,0.45454545454545453,0.125,0.5,,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.07142857142857142,93.6,1.0,15.384615384615385,15.384615384615385,14.435897435897436,15.14102564102564,0.03225806451612903,0.5,1.0,,0.45161290322580644,0.5714285714285714,0.6153846153846154,0.5625,0.016129032258064516,1.0,1.0,,0.08064516129032258,0.2,0.2,1.0,0.41935483870967744,0.34615384615384615,0.36,1.0,0.14285714285714285,,0.5714285714285714,0.25,1.0,0.07692307692307693,,0.6153846153846154,0.532258064516129,0.34615384615384615,0.4612806451612903,0.44155000000000005,0.4677384615384615,0.12857142857142856,0.21052631578947367,0.10465116279069768,0.1744186046511628,6.012903225806451,25.03548387096774,0.23076923076923078,2024-06-11,1022400068,MIN,1.0,,,1.0,1.0,,,0.125,,1.0,,,,1.0,0.125,,,,,,2.0,,1.0,,0.03125,1.0,,0.03225806451612903,,,,,,0.038461538461538464,,,,,2024,
