phase,phase_num,games,wins,losses,metric,metric_key,category,weight,value
Phase 3: Playoffs,3,12,9,3,Def FT Rate Allowed,def_ft_rate,Four Factors (Defense),0.25,0.28484107579462103
Phase 3: Playoffs,3,12,9,3,Def TOV% Forced,def_tov_pct,Four Factors (Defense),0.22,0.1699913980256421
Phase 3: Playoffs,3,12,9,3,Def OREB% Allowed,def_oreb_pct,Four Factors (Defense),0.18,0.27989821882951654
Phase 3: Playoffs,3,12,9,3,ORtg,ortg,Efficiency,,109.59666776641373
Phase 3: Playoffs,3,12,9,3,DRtg,drtg,Efficiency,,101.48281653217548
Phase 3: Playoffs,3,12,9,3,Net Rating,net_rtg,Efficiency,,8.113851234238254
Phase 3: Playoffs,3,12,9,3,Pace,pace_avg,Style,,81.10166666666667
Phase 3: Playoffs,3,12,9,3,TS%,ts_pct,Shooting,,0.5715545423262216
Phase 3: Playoffs,3,12,9,3,3P%,fg3_pct,Shooting,,0.3794466403162055
Phase 3: Playoffs,3,12,9,3,AST/TOV,ast_tov_ratio,Ball Movement,,1.96875
Phase 3: Playoffs,3,12,9,3,PPG,ppg,Scoring,,88.58333333333333
Phase 3: Playoffs,3,12,9,3,% Pts Paint,pct_pts_paint,Scoring Mix,,0.4233301975540922
Phase 3: Playoffs,3,12,9,3,% Pts 3PT,pct_pts_3pt,Scoring Mix,,0.270931326434619
Phase 3: Playoffs,3,12,9,3,% Pts FT,pct_pts_ft,Scoring Mix,,0.18156161806208843
