player_name,position,position_group,archetype,mpg,elite_count,improvement_count,elite_skills,improvement_areas,metric,percentile,metric_display,metric_category,percentile_tier,metric_order,player_order
Jackie Young,G,G,Elite Two-Way Star,31.39,4,0,"PER, ts_pct, win_shares, FT%",None,TREB_pct_pctile_pos,70,TREB%,Rebounding,Average (50-74),6,2
Jackie Young,G,G,Elite Two-Way Star,31.39,4,0,"PER, ts_pct, win_shares, FT%",None,STL_pct_pctile_pos,72,STL%,Defense,Average (50-74),7,2
Jackie Young,G,G,Elite Two-Way Star,31.39,4,0,"PER, ts_pct, win_shares, FT%",None,BLK_pct_pctile_pos,45,BLK%,Defense,Below Avg (25-49),8,2
Jackie Young,G,G,Elite Two-Way Star,31.39,4,0,"PER, ts_pct, win_shares, FT%",None,player_def_rtg_pctile_pos,60,Def Rating,Defense,Average (50-74),9,2
Jackie Young,G,G,Elite Two-Way Star,31.39,4,0,"PER, ts_pct, win_shares, FT%",None,three_pt_rate_pctile_pos,43,3PT Rate,Shooting,Below Avg (25-49),10,2
Jackie Young,G,G,Elite Two-Way Star,31.39,4,0,"PER, ts_pct, win_shares, FT%",None,FT_pct_pctile_pos,91,FT%,Shooting,Elite (90+),11,2
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,PER_pctile_pos,67,PER,Overall,Average (50-74),1,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,win_shares_pctile_pos,74,Win Shares,Overall,Average (50-74),2,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,ts_pct_pctile_pos,82,TS%,Efficiency,Above Avg (75-89),3,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,AST_pct_pctile_pos,89,AST%,Playmaking,Above Avg (75-89),4,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,TOV_pct_pctile_pos,16,TOV%,Playmaking,Weakness (<25),5,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,TREB_pct_pctile_pos,38,TREB%,Rebounding,Below Avg (25-49),6,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,STL_pct_pctile_pos,55,STL%,Defense,Average (50-74),7,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,BLK_pct_pctile_pos,30,BLK%,Defense,Below Avg (25-49),8,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,player_def_rtg_pctile_pos,52,Def Rating,Defense,Average (50-74),9,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,three_pt_rate_pctile_pos,48,3PT Rate,Shooting,Below Avg (25-49),10,3
Chelsea Gray,G,G,Primary Ball Handler,32.14,0,1,None,TOV%,FT_pct_pctile_pos,85,FT%,Shooting,Above Avg (75-89),11,3
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,PER_pctile_pos,53,PER,Overall,Average (50-74),1,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,win_shares_pctile_pos,65,Win Shares,Overall,Average (50-74),2,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,ts_pct_pctile_pos,49,TS%,Efficiency,Below Avg (25-49),3,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,AST_pct_pctile_pos,18,AST%,Playmaking,Weakness (<25),4,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,TOV_pct_pctile_pos,93,TOV%,Playmaking,Elite (90+),5,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,TREB_pct_pctile_pos,45,TREB%,Rebounding,Below Avg (25-49),6,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,STL_pct_pctile_pos,48,STL%,Defense,Below Avg (25-49),7,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,BLK_pct_pctile_pos,35,BLK%,Defense,Below Avg (25-49),8,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,player_def_rtg_pctile_pos,46,Def Rating,Defense,Below Avg (25-49),9,4
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,three_pt_rate_pctile_pos,77,3PT Rate,Shooting,Above Avg (75-89),10,4
