season,season_type,stat_type,Team,GP,Possessions,Pts,FG2M,FG2A,2pt FG%,FG3M,FG3A,3pt FG%,Non-Heave 3pt FG%,FT Pts,AST2 Pts,UAST2 2s Pts,AST3 Pts,UAST3 Pts,2pt AST%,Non Putback 2pt AST%,3pt AST%,3PAr,Shot Quality,eFG%,TS%,PUT,FG2AB,% of FG2AB,FG3AB,% of FG3AB,Rim or 3 Freq,Avg 2pt Shot Distance,Avg 3pt Shot Distance,Rim FGM,Rim FGA,Rim Freq,Rim FG%,Unblocked Rim FG%,Rim %AST,% of Rim FGAB,SMR FGM,SMR FGA,SMR Freq,SMR FG%,Unblocked SMR FG%,SMR %AST,% of SMR FGAB,LMR FGM,LMR FGA,LMR Freq,LMR FG%,Unblocked LMR FG%,LMR %AST,% of LMR FGAB,C3 FGM,C3 FGA,C3 Freq,C3 FG%,Unblocked C3 FG%,C3 %AST,% of C3 FGAB,AB3 FGM,AB3 FGA,AB3 Freq,AB3 FG%,Unblocked AB3 FG%,AB3 %AST,% of AB3 FGAB,Non-Heave AB3 FGM,Non-Heave AB3 FGA,Non-Heave AB3 FG%,Heaves,Heaves Made
2025,regular season,totals,ATL,44,3379,3712,902,1736,51.96%,421,1248,33.73%,34.14%,645,1132,672,1128,135,62.75%,67.78%,89.31%,41.82%,0.52,51.39%,55.34%,134,150,8.64%,8,0.64%,73.16%,5.56,25.12,574,935,31.33%,61.39%,67.37%,66.03%,8.88%,271,635,21.28%,42.68%,47.46%,56.83%,10.08%,57,166,5.56%,34.34%,34.97%,57.89%,1.81%,82,225,7.54%,36.44%,36.61%,95.12%,0.44%,339,1023,34.28%,33.14%,33.37%,87.91%,0.68%,339,1008,33.63%,15,0
2025,regular season,totals,MIN,44,3414,3787,992,1881,52.74%,422,1116,37.81%,38.05%,537,1278,706,1161,105,64.42%,68.49%,91.71%,37.24%,0.5,54.22%,57.13%,118,116,6.17%,8,0.72%,63.60%,8.03,24.65,540,790,26.36%,68.35%,74.07%,68.52%,7.72%,264,623,20.79%,42.38%,45.91%,64.02%,7.70%,188,468,15.62%,40.17%,40.78%,53.19%,1.50%,100,226,7.54%,44.25%,44.64%,99.00%,0.88%,322,890,29.70%,36.18%,36.43%,89.44%,0.67%,322,883,36.47%,7,0
2025,regular season,totals,WAS,44,3427,3394,982,2047,47.97%,248,754,32.89%,33.16%,686,1242,722,672,72,63.24%,68.24%,90.32%,26.92%,0.49,48.34%,52.92%,144,169,8.26%,4,0.53%,58.12%,7.07,25.15,563,874,31.20%,64.42%,70.11%,63.94%,8.12%,292,817,29.17%,35.74%,40.22%,56.51%,11.14%,127,356,12.71%,35.67%,36.39%,75.59%,1.97%,60,183,6.53%,32.79%,32.97%,96.67%,0.55%,188,571,20.39%,32.92%,33.10%,88.30%,0.53%,188,565,33.27%,6,0
2025,regular season,totals,CON,44,3434,3337,944,2055,45.94%,271,896,30.25%,30.55%,636,1110,778,630,183,58.79%,64.31%,77.49%,30.36%,0.49,45.76%,50.24%,162,159,7.74%,9,1.00%,56.76%,8.04,25.32,474,779,26.40%,60.85%,67.14%,56.33%,9.37%,274,785,26.60%,34.90%,38.98%,58.03%,10.45%,196,491,16.64%,39.92%,40.25%,65.82%,0.81%,64,179,6.07%,35.75%,36.16%,93.75%,1.12%,207,717,24.30%,28.87%,29.15%,72.46%,0.98%,207,708,29.24%,9,0
2025,regular season,totals,SEA,44,3468,3614,1038,2073,50.07%,332,971,34.19%,34.44%,542,1282,794,891,105,61.75%,65.14%,89.46%,31.90%,0.49,50.46%,53.77%,108,176,8.49%,10,1.03%,58.18%,7.61,24.76,535,800,26.28%,66.88%,73.49%,62.06%,9.00%,359,897,29.47%,40.02%,44.71%,62.95%,10.48%,144,376,12.35%,38.30%,39.34%,57.64%,2.66%,79,213,7.00%,37.09%,37.26%,100.00%,0.47%,253,758,24.90%,33.38%,33.78%,86.17%,1.19%,253,751,33.69%,7,0
2025,regular season,totals,LAS,44,3532,3769,969,1825,53.10%,380,1127,33.72%,33.99%,691,1176,762,969,171,60.68%,66.14%,85.00%,38.18%,0.52,52.13%,56.18%,160,202,11.07%,5,0.44%,73.14%,4.88,24.79,691,1032,34.96%,66.96%,74.30%,63.39%,9.88%,241,678,22.97%,35.55%,41.62%,54.36%,14.60%,37,115,3.90%,32.17%,32.46%,51.35%,0.87%,97,277,9.38%,35.02%,35.27%,94.85%,0.72%,283,850,28.79%,33.29%,33.41%,81.63%,0.35%,283,841,33.65%,9,0
2025,regular season,totals,IND,44,3481,3734,1015,1969,51.55%,365,1056,34.56%,34.73%,609,1198,832,921,174,59.01%,64.62%,84.11%,34.91%,0.51,51.65%,55.16%,176,165,8.38%,8,0.76%,68.10%,6.29,25.15,617,1004,33.19%,61.45%,67.58%,57.05%,9.06%,290,672,22.21%,43.15%,48.01%,59.31%,10.12%,108,293,9.69%,36.86%,37.63%,69.44%,2.05%,92,232,7.67%,39.66%,40.35%,100.00%,1.72%,273,824,27.24%,33.13%,33.29%,78.75%,0.49%,273,819,33.33%,5,0
2025,regular season,totals,LVA,44,3436,3680,905,1837,49.27%,400,1138,35.15%,35.30%,670,1016,794,1059,141,56.13%,59.98%,88.25%,38.25%,0.47,50.59%,55.20%,116,102,5.55%,11,0.97%,53.28%,8.33,24.88,280,447,15.03%,62.64%,67.15%,54.64%,6.71%,466,1024,34.42%,45.51%,48.64%,55.36%,6.45%,159,366,12.30%,43.44%,44.17%,61.01%,1.64%,109,303,10.18%,35.97%,36.33%,98.17%,0.99%,291,835,28.07%,34.85%,35.19%,84.54%,0.96%,291,830,35.06%,5,0
2025,regular season,totals,DAL,44,3502,3594,1039,2193,47.38%,289,950,30.42%,30.68%,649,1254,824,783,84,60.35%,63.91%,90.31%,30.23%,0.48,46.85%,51.36%,116,194,8.85%,13,1.37%,55.46%,7.8,25.15,477,793,25.23%,60.15%,68.63%,63.94%,12.36%,399,965,30.70%,41.35%,45.60%,56.64%,9.33%,163,435,13.84%,37.47%,38.00%,58.90%,1.38%,57,168,5.35%,33.93%,34.13%,100.00%,0.60%,232,782,24.88%,29.67%,30.13%,87.93%,1.53%,232,774,29.97%,8,0
2025,regular season,totals,PHX,44,3472,3643,894,1801,49.64%,414,1217,34.02%,34.30%,613,1094,694,1122,120,61.19%,65.43%,90.34%,40.32%,0.5,50.20%,54.09%,116,147,8.16%,21,1.73%,65.71%,6.8,25.11,468,766,25.38%,61.10%,67.05%,61.32%,8.88%,319,758,25.12%,42.08%,46.43%,57.05%,9.37%,107,277,9.18%,38.63%,39.78%,72.90%,2.89%,112,281,9.31%,39.86%,41.03%,95.54%,2.85%,302,936,31.01%,32.26%,32.72%,88.41%,1.39%,302,926,32.61%,10,0
2025,regular season,totals,GSV,44,3319,3420,740,1553,47.65%,427,1314,32.50%,32.75%,659,864,616,1149,132,58.38%,62.43%,89.70%,45.83%,0.49,48.15%,52.92%,96,160,10.30%,22,1.67%,65.05%,7.09,25.11,339,551,19.22%,61.52%,67.80%,57.52%,9.26%,320,763,26.61%,41.94%,48.48%,54.69%,13.50%,81,239,8.34%,33.89%,34.76%,76.54%,2.51%,102,321,11.20%,31.78%,32.28%,98.04%,1.56%,325,993,34.64%,32.73%,33.30%,87.08%,1.71%,325,983,33.06%,10,0
2025,regular season,totals,NYL,44,3467,3713,884,1695,52.15%,419,1180,35.51%,35.78%,688,1186,582,1101,156,67.08%,71.02%,87.59%,41.04%,0.5,52.61%,57.20%,98,131,7.73%,13,1.10%,65.70%,6.55,25.13,488,709,24.66%,68.83%,74.39%,67.62%,7.48%,294,755,26.26%,38.94%,43.11%,68.03%,9.67%,102,231,8.03%,44.16%,45.13%,61.76%,2.16%,101,267,9.29%,37.83%,38.26%,97.03%,1.12%,318,913,31.76%,34.83%,35.22%,84.59%,1.10%,318,904,35.18%,9,0
2025,regular season,totals,CHI,44,3393,3335,941,2014,46.72%,293,889,32.96%,33.11%,574,1190,692,768,111,63.23%,69.67%,87.37%,30.62%,0.5,47.55%,51.35%,174,229,11.37%,14,1.57%,63.24%,6.54,24.93,523,947,32.62%,55.23%,64.49%,67.30%,14.36%,294,748,25.77%,39.30%,44.48%,58.16%,11.63%,124,319,10.99%,38.87%,39.62%,58.06%,1.88%,56,160,5.51%,35.00%,35.44%,92.86%,1.25%,237,729,25.11%,32.51%,33.05%,86.08%,1.65%,237,725,32.69%,4,0
2024,regular season,totals,WAS,40,3201,3172,772,1617,47.74%,389,1064,36.56%,36.80%,461,984,560,1113,54,63.73%,67.12%,95.37%,39.69%,0.5,50.56%,53.79%,78,132,8.16%,3,0.28%,65.01%,7.38,25.11,445,679,25.33%,65.54%,70.52%,64.72%,7.07%,198,609,22.72%,32.51%,37.29%,58.59%,12.81%,129,329,12.27%,39.21%,39.94%,68.22%,1.82%,101,222,8.28%,45.50%,45.50%,100.00%,0.00%,288,842,31.41%,34.20%,34.33%,93.75%,0.36%,288,835,34.49%,7,0
2024,regular season,totals,IND,40,3219,3399,882,1707,51.67%,368,1034,35.59%,35.76%,531,1062,702,855,249,60.20%,65.56%,77.45%,37.72%,0.52,52.32%,55.71%,144,146,8.55%,5,0.48%,71.11%,6.25,25.68,563,915,33.38%,61.53%,68.49%,59.15%,10.16%,215,506,18.46%,42.49%,47.25%,63.26%,10.08%,104,286,10.43%,36.36%,36.62%,59.62%,0.70%,79,212,7.73%,37.26%,37.26%,92.41%,0.00%,289,822,29.99%,35.16%,35.37%,73.36%,0.61%,289,817,35.37%,5,0
