player_id,player_name,position,years_exp,exp_category,height_cm,height_inches,college,draft_year,Draft Pick Number,Draft Round Number,games_count,wins,losses,win_pct,total_minutes,mpg,OffRtg,DefRtg,NetRtg,eFG%,TS%,efficiency_tier,USG%,usage_tier,AST%,AST_TOV,AST_Ratio,TOV_Ratio,OREB%,DREB%,REB%,PIE,PACE,impact_player,min_on,min_off,ortg_on,ortg_off,ortg_diff,drtg_on,drtg_off,drtg_diff,net_rtg_on,net_rtg_off,net_rtg_diff,two_way_rating,two_way_tier,star_rating,star_tier,efficiency_score,offensive_load,offensive_load_tier,offensive_impact,true_usage,playmaking_efficiency,defensive_impact,rebounding_impact,impact_per_36,impact_tier,minutes_leverage,role_clarity,versatility_score,archetype,win_contribution,availability,position_group,PER_rank_filtered,ts_pct_rank_filtered,win_shares_rank_filtered,off_ws_rank_filtered,def_ws_rank_filtered,player_off_rtg_rank_filtered,player_def_rtg_rank_filtered,PER_pctile_pos,ts_pct_pctile_pos,EFG%_pctile_pos,PPG_pctile_pos,USG%_pctile_pos,AST%_pctile_pos,AST_TOV_pctile_pos,TOV%_pctile_pos,TREB%_pctile_pos,OREB%_pctile_pos,DREB%_pctile_pos,STL%_pctile_pos,BLK%_pctile_pos,player_def_rtg_pctile_pos,win_shares_pctile_pos,off_ws_pctile_pos,def_ws_pctile_pos,player_off_rtg_pctile_pos,3p_rate_pctile_pos,FT%_pctile_pos,3P%_pctile_pos,PER_pctile_league,ts_pct_pctile_league,win_shares_pctile_league,player_off_rtg_pctile_league,player_def_rtg_pctile_league,elite_skills,elite_count,improvement_areas,improvement_count
1628932,A'ja Wilson,F,8.0,Veteran,193.0,76.0,South Carolina,2018.0,1.0,1.0,52,38,14,0.731,1680,32.31,111.0,99.9,11.1,0.512,0.583,Above Average,0.314,Elite,0.192,1.47,0.12,0.084,0.065,0.248,0.158,21.946,95.9,1,1258,510,112.9,93.3,19.6,100.4,110.2,-9.8,12.4,-16.9,29.3,11.1,Elite,96.0,Star,18.3,0.4,Elite,19.6,0.4,0.696,9.8,0.5,32.6,Elite,1.1,0.473,0.527,Generational Talent,49.2,0.929,C,1.0,19.0,1.0,1.0,1.0,11.0,5.0,1.0,0.895,0.483,1.0,1.0,0.927,0.659,0.953,0.955,0.618,1.0,1.0,0.899,0.966,1.0,1.0,1.0,0.945,0.559,0.852,0.848,1.0,0.869,1.0,0.946,0.987,"PER, AST%, TOV%, TREB%, STL%, player_def_rtg, win_shares",7,None,0
1642801,Aaliyah Nye,G-F,1.0,Rookie/Sophomore,183.0,72.0,Alabama,2025.0,13.0,2.0,50,35,15,0.7,689,13.78,98.8,101.9,-3.1,0.413,0.42,Below Average,0.131,Low,0.066,0.32,0.1,0.099,0.022,0.083,0.05,1.847,97.2,0,671,1089,102.6,109.9,-7.3,105.4,102.0,3.4,-2.8,7.9,-10.7,-3.1,Below Average,10.5,Role Player,5.5,0.2,Low,-7.3,0.2,0.4,-3.4,0.1,-28.0,Negative,0.5,0.53,0.47,3PT Specialist,20.1,0.893,G,139.0,129.0,126.0,138.0,98.0,136.0,110.0,0.049,0.096,0.214,0.094,0.113,0.033,0.059,0.718,0.334,0.63,0.317,0.039,0.662,0.326,0.127,0.063,0.31,0.079,0.94,0.508,0.274,0.032,0.075,0.081,0.046,0.238,3p_rate,1,"PER, ts_pct, AST%, STL%, win_shares",5
203833,Chelsea Gray,G,11.0,Star Veteran,180.0,70.9,Duke,2014.0,11.0,1.0,56,39,17,0.696,1800,32.14,109.2,101.6,7.6,0.51,0.563,Above Average,0.17,Medium,0.267,2.93,0.32,0.147,0.017,0.102,0.06,10.956,96.1,1,1378,388,111.7,92.1,19.6,104.6,98.2,6.5,7.1,-6.1,13.2,7.6,Good,62.2,Key Player,9.6,0.3,High,19.6,0.3,0.645,-6.5,0.2,14.8,Positive,1.1,0.537,0.463,Primary Ball Handler,46.6,1.0,G,59.0,32.0,28.0,29.0,20.0,66.0,68.0,0.667,0.817,0.75,0.619,0.413,0.819,0.542,0.094,0.653,0.427,0.749,0.8,0.852,0.694,0.735,0.721,0.893,0.541,0.55,0.855,0.711,0.528,0.76,0.704,0.5,0.518,None,0,TOV%,1
1630389,Dana Evans,G,5.0,Young,168.0,66.1,Louisville,2021.0,13.0,2.0,56,39,17,0.696,1021,18.23,100.3,99.9,0.5,0.462,0.496,Below Average,0.188,Medium,0.232,0.75,0.23,0.08,0.01,0.049,0.03,6.716,96.4,0,777,983,100.9,112.0,-11.1,104.0,102.8,1.2,-3.1,9.2,-12.3,0.4,Average,28.7,Contributor,9.3,0.3,High,-11.1,0.3,0.744,-1.2,0.1,-24.3,Negative,0.6,0.516,0.484,Role Player,26.4,1.0,G,108.0,113.0,83.0,70.0,98.0,92.0,115.0,0.27,0.186,0.258,0.257,0.504,0.48,0.838,0.857,0.042,0.136,0.068,0.068,0.327,0.277,0.331,0.38,0.272,0.375,0.289,0.176,0.645,0.211,0.143,0.299,0.33,0.207,None,0,"ts_pct, TREB%, STL%, FT%",4
1629498,Jackie Young,G,7.0,Veteran,183.0,72.0,Notre Dame,2019.0,1.0,1.0,56,39,17,0.696,1758,31.39,108.7,100.8,7.9,0.554,0.603,Elite,0.233,High,0.281,2.63,0.24,0.107,0.042,0.104,0.073,14.384,95.8,1,1336,424,110.5,96.3,14.3,101.3,109.6,-8.2,9.2,-13.3,22.5,7.9,Good,84.6,Star,14.0,0.4,High,14.3,0.3,0.724,8.2,0.2,25.8,Elite,1.0,0.479,0.521,Elite Two-Way Star,45.5,1.0,G,9.0,19.0,6.0,4.0,25.0,16.0,76.0,1.0,0.936,0.898,0.861,0.798,0.891,0.787,0.626,0.808,0.879,0.726,0.72,0.748,0.616,0.976,0.976,0.775,0.935,0.41,0.923,0.575,0.921,0.844,0.944,0.895,0.474,"PER, ts_pct, win_shares, FT%",4,None,0
204319,Jewell Loyd,G,11.0,Star Veteran,178.0,70.1,Notre Dame,2015.0,1.0,1.0,56,39,17,0.696,1599,28.55,107.5,100.4,7.1,0.494,0.524,Average,0.169,Medium,0.097,1.02,0.13,0.093,0.043,0.073,0.059,7.388,96.7,0,1235,525,108.4,104.0,4.4,103.9,101.9,2.0,4.5,2.1,2.4,7.1,Good,45.3,Contributor,8.9,0.2,Medium,4.4,0.2,0.511,-2.0,0.2,3.0,Neutral,1.0,0.52,0.48,Ball Security Specialist,41.4,1.0,G,77.0,69.0,36.0,34.0,43.0,59.0,94.0,0.528,0.488,0.631,0.596,0.454,0.184,0.32,0.921,0.552,0.9,0.293,0.687,0.433,0.448,0.678,0.678,0.662,0.602,0.833,0.545,0.78,0.409,0.43,0.623,0.544,0.348,TOV%,1,AST%,1
1631006,Kierstan Bell,G-F,4.0,Young,185.0,72.8,FGCU,2022.0,11.0,1.0,47,31,16,0.66,554,11.79,96.5,98.2,-1.7,0.45,0.46,Below Average,0.165,Medium,0.076,0.34,0.13,0.087,0.038,0.099,0.067,6.306,97.4,0,422,1338,99.4,109.5,-10.1,96.8,105.3,-8.5,2.6,4.2,-1.6,-1.7,Below Average,29.0,Contributor,7.6,0.2,Medium,-10.1,0.2,0.466,8.5,0.1,-4.9,Negative,0.4,0.536,0.464,Stretch Forward,16.2,0.839,F,112.0,135.0,113.0,120.0,90.0,119.0,85.0,0.145,0.026,0.068,0.12,0.394,0.194,0.518,0.929,0.224,0.376,0.123,0.381,0.703,0.2,0.074,0.039,0.137,0.104,0.994,0.598,0.473,0.168,0.047,0.126,0.137,0.382,"TOV%, 3p_rate",2,"PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",6
1631019,NaLyssa Smith,F,4.0,Young,188.0,74.0,Baylor,2022.0,2.0,1.0,39,30,9,0.769,890,22.82,109.1,97.8,11.4,0.585,0.588,Above Average,0.158,Medium,0.042,0.27,0.07,0.138,0.071,0.161,0.117,7.616,94.8,0,607,1153,111.1,105.1,6.0,102.0,104.0,-2.0,9.1,1.1,8.0,11.3,Elite,57.0,Key Player,9.3,0.2,Low,6.0,0.2,0.233,2.0,0.3,12.6,Neutral,0.8,0.498,0.502,Paint Presence,36.6,0.696,F,84.0,61.0,44.0,48.0,49.0,65.0,75.0,0.304,0.523,0.562,0.307,0.256,0.093,0.08,0.506,0.606,0.713,0.563,0.249,0.815,0.274,0.479,0.459,0.421,0.484,0.239,0.095,0.501,0.368,0.513,0.542,0.509,0.482,None,0,"AST%, STL%, 3p_rate, FT%",4
